id,op,subop,fecha,hora_inicio,hora_fin,id_rrhh,nº_tocholargo,long_inicial,long_tocho_cortado,cant_tochos cortados ,peso_promedio,long_final,Peso del resto del tocho
1,27,1,20190807,073000,075000,000011,187,580,45,4,14.76,398.9,NULL
2,31,1,20190806,142000,142500,000011,184,120.6,55,2,18.107,9.9,NULL
3,31,1,20190806,143600,152000,000011,184,580,55,10,18.025,27.3,NULL
4,31,1,20190806,152800,155800,000011,185,580,55,5,18.112,303.8,NULL
5,31,1,20190806,160000,161800,000011,185,303.8,55,5,18.06,26.9,NULL
6,31,1,20190806,163500,165600,000011,186,580,55,6,18.05,248.2,NULL
7,31,1,20190807,065000,071000,000011,186,248.2,55,4,18.05,26.2,NULL
8,31,1,20190807,082000,083500,000011,187,398.9,55,5,18.04,122.3,NULL
9,31,2,20190807,090000,090500,000011,187,122.3,63.9,1,20.941,58,NULL
10,31,2,20190807,091000,094500,000011,188,580,63.9,8,20.908,66.6,NULL
11,32,1,20190808,142500,150000,000011,189,580,49.6,11,16.223,31.6,NULL
12,32,1,20190808,152700,153700,000011,190,580,49.6,4,16.289,380.6,NULL
13,33,1,20190812,143500,155800,000011,190,380.6,50.9,7,16.553,24.4,NULL
14,33,1,20190812,163400,165700,000011,191,580,50.9,7,16.693,221,NULL
15,33,1,20190813,064100,070000,000011,191,221,50.9,4,16.753,16.5,NULL
16,33,1,20190813,071500,074000,000011,192,580,50.9,11,16.753,16.5,NULL
17,33,2,20190813,084000,091400,000011,192,224,31,7,10.207,1.6,NULL
18,33,2,20190813,093500,103100,000011,193,580,31,18,10.207,14.4,NULL
19,33,2,20190813,105300,114200,000011,194,580,31,17,10.207,45.6,NULL
20,34,1,20190820,135900,142300,000011,196,600,41.9,14,13.448,14,NULL
21,34,1,20190820,142900,150000,000011,197,600,41.9,14,13.512,13.5,NULL
22,34,1,20190820,151700,152900,000011,195,291,41.9,5,13.458,81.2,NULL
23,34,2,20190820,132200,134600,000011,195,600,30.6,10,9.84,291,NULL
24,34,3,20190820,162200,164700,000011,198,600,51.2,11,16.386,38,NULL
