ID_MOVIMIENTO,FECHA ,HORA ,ID_RESPONSABLE,TIPO_CONTENEDOR_ORIGEN,ID_CONTENEDOR_ORIGEN,TIPO_CONTENEDOR_DESTINO,ID_CONTENEDOR_DESTINO,CODIGO ,LONGITUD,ENVEJECIDO,ACABADO,COLOR,DEFECTUOSO,CANTIDAD,nro_ext,nro_envejecimiento,nro_pint,id_imp_etiq,com,es_fix,ok
1,20200228,NULL,5,NULL,NULL,2,1,PROFILE-0077,6,1,0,0,0,233,NULL,NULL,NULL,NULL,NULL,0,NULL
2,20200228,NULL,12,2,1,NULL,NULL,PROFILE-0077,6,1,0,0,0,86,NULL,NULL,NULL,NULL,NULL,0,NULL
3,20200529,NULL,12,2,1,NULL,NULL,PROFILE-0077,6,1,0,0,0,147,NULL,NULL,NULL,NULL,NULL,0,NULL
4,20200228,NULL,5,NULL,NULL,2,2,PROFILE-0116,6,1,0,0,0,59,NULL,NULL,NULL,NULL,NULL,0,NULL
5,20200228,NULL,5,NULL,NULL,2,3,PROFILE-0116,6,1,0,0,0,112,NULL,NULL,NULL,NULL,NULL,0,NULL
6,20200228,NULL,5,NULL,NULL,2,4,PROFILE-0161,6,1,0,0,0,60,NULL,NULL,NULL,NULL,NULL,0,NULL
7,20200311,NULL,5,2,4,NULL,NULL,PROFILE-0161,6,1,0,0,0,4,NULL,NULL,NULL,NULL,NULL,0,NULL
8,20200317,NULL,5,2,4,NULL,NULL,PROFILE-0161,6,1,0,0,0,41,NULL,NULL,NULL,NULL,NULL,0,NULL
9,20200318,NULL,12,2,4,NULL,NULL,PROFILE-0161,6,1,0,0,0,15,NULL,NULL,NULL,NULL,NULL,0,NULL
10,20200228,NULL,5,NULL,NULL,2,5,PROFILE-0177,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
11,20200316,NULL,11,NULL,NULL,2,5,PROFILE-0177,6,1,0,0,0,27,NULL,NULL,NULL,NULL,NULL,0,NULL
12,20200228,NULL,5,NULL,NULL,2,5,PROFILE-0157,6,1,0,0,0,2,NULL,NULL,NULL,NULL,NULL,0,NULL
13,20200228,NULL,5,NULL,NULL,2,6,PROFILE-0078,6,1,0,0,0,444,NULL,NULL,NULL,NULL,NULL,0,NULL
14,20200228,NULL,5,2,6,NULL,NULL,PROFILE-0078,6,1,0,0,0,97,NULL,NULL,NULL,NULL,NULL,0,NULL
15,20200521,NULL,12,2,6,NULL,NULL,PROFILE-0078,6,1,0,0,0,347,NULL,NULL,NULL,NULL,NULL,0,NULL
16,20200228,NULL,5,NULL,NULL,2,7,PROFILE-0144,6,1,0,0,0,4,NULL,NULL,NULL,NULL,NULL,0,NULL
17,20200228,NULL,5,NULL,NULL,2,7,PROFILE-0143,6,1,0,0,0,3,NULL,NULL,NULL,NULL,NULL,0,NULL
18,20200228,NULL,5,NULL,NULL,2,7,PROFILE-0145,6,1,0,0,0,12,NULL,NULL,NULL,NULL,NULL,0,NULL
