nro_canasto,cod_perfil,long__m,cantidad,op_extrusion,subop_extrusion,,
1,PROFILE-0074,6,195,NULL,NULL,,
1,PROFILE-0080,6,327,NULL,NULL,,
1,PROFILE-0080,4,5,NULL,NULL,,
2,PROFILE-0083,6,54,NULL,NULL,,
2,PROFILE-0083,5,19,NULL,NULL,,
2,PROFILE-0083,2,11,NULL,NULL,,
3,PROFILE-0083,6,80,NULL,NULL,,
3,PROFILE-0155,6,71,80,8,,
4,PROFILE-0075,6,41,NULL,NULL,,
4,PROFILE-0075,5,13,NULL,NULL,,
4,PROFILE-0075,3,4,NULL,NULL,,
4,PROFILE-0078,6,420,NULL,NULL,,
4,PROFILE-0078,3,8,NULL,NULL,,
5,PROFILE-0074,6,100,NULL,NULL,,
5,PROFILE-0076,6,79,NULL,NULL,,
6,PROFILE-0076,6,106,NULL,NULL,,
6,PROFILE-0076,5,4,NULL,NULL,,
6,PROFILE-0180,6,65,73,2,,
7,PROFILE-0135,6,78,NULL,NULL,,
7,PROFILE-0175,6,63,NULL,NULL,,
8,PROFILE-0135,6,22,NULL,NULL,,
8,PROFILE-0136,6,31,NULL,NULL,,
8,PROFILE-0136,4,5,NULL,NULL,,
8,PROFILE-0151,6,88,85,1,,
8,PROFILE-0158,5,1,89,7,,
9,PROFILE-0136,6,44,NULL,NULL,,
9,PROFILE-0136,4,10,NULL,NULL,,
10,PROFILE-0080,6,579,NULL,NULL,,
10,PROFILE-0080,5,60,NULL,NULL,,
10,PROFILE-0080,4,15,NULL,NULL,,
10,PROFILE-0080,3,9,NULL,NULL,,
10,PROFILE-0136,6,3,NULL,NULL,,
10,PROFILE-0136,4,3,NULL,NULL,,
10,PROFILE-0136,3,3,NULL,NULL,,
10,PROFILE-0148,6,37,NULL,NULL,,
10,PROFILE-0153,6,6,82,2,,
10,PROFILE-0161,6,49,NULL,NULL,,
11,PROFILE-0075,6,88,NULL,NULL,,
11,PROFILE-0075,5,13,NULL,NULL,,
11,PROFILE-0075,4,18,NULL,NULL,,
11,PROFILE-0075,3,2,NULL,NULL,,
11,PROFILE-0080,6,234,NULL,NULL,,
12,PROFILE-0075,6,34,NULL,NULL,,
12,PROFILE-0075,5,7,NULL,NULL,,
12,PROFILE-0075,4,17,NULL,NULL,,
12,PROFILE-0075,3,3,NULL,NULL,,
12,PROFILE-0076,6,60,NULL,NULL,,
12,PROFILE-0076,5,2,NULL,NULL,,
12,PROFILE-0076,4,1,NULL,NULL,,
13,PROFILE-0076,6,36,68,1,,
13,PROFILE-0189,6,535,NULL,NULL,,
13,PROFILE-0189,5,1,NULL,NULL,,
13,PROFILE-0189,4,144,NULL,NULL,,
14,PROFILE-0079,6,107,NULL,NULL,,
14,PROFILE-0189,6,39,NULL,NULL,,
14,PROFILE-0082,6,70,NULL,NULL,,
14,PROFILE-0082,5,8,NULL,NULL,,
14,PROFILE-0082,4,1,NULL,NULL,,
14,PROFILE-0130,6,242,84,1,,
15,PROFILE-0078,6,141,NULL,NULL,,
15,PROFILE-0078,5,30,NULL,NULL,,
15,PROFILE-0078,4,2,NULL,NULL,,
15,PROFILE-0079,6,160,NULL,NULL,,
15,PROFILE-0079,5,1,NULL,NULL,,
15,PROFILE-0079,4,2,NULL,NULL,,
15,PROFILE-0079,3,4,NULL,NULL,,
15,PROFILE-0079,2,2,NULL,NULL,,
16,PROFILE-0078,6,69,NULL,NULL,,
16,PROFILE-0078,5,22,NULL,NULL,,
