nro,fecha_inicio,hora_inicio,id_responsable,fecha_fin,hora_fin,id_responsable
1,20190412,071900,8,20191204,184000,8
2,20190415,200000,8,20190416,080000,8
3,20190416,170000,8,20190416,050000,8
4,20190503,200000,8,20190405,060000,8
5,20190506,103000,8,20190506,203000,8
6,20190520,210000,8,20190521,070000,8
7,20190524,170000,8,20190425,050000,8
8,20190528,200000,8,20190529,070000,8
9,20190607,063000,8,20190607,163000,8
10,20190611,063000,8,20190611,163000,8
11,20190619,230000,8,20190620,120000,8
12,20190624,103000,8,20190624,163000,8
13,20190626,040000,8,20190626,132000,8
14,20190627,230000,8,20190628,070000,8
15,20190701,230000,8,20190702,070000,8
16,20190705,040000,8,20190705,100000,8
17,20190710,103000,8,20190710,163000,8
18,20190711,080000,8,20190711,150000,8
19,20190715,103000,8,20190715,163000,8
20,20190718,080000,8,20190718,162500,8
21,20190720,040000,8,20190720,110000,8
22,20190724,093000,8,20190725,163000,8
23,20190727,050000,8,20190727,130000,8
24,20190731,080000,8,20190731,163000,8
25,20190803,070000,8,20190803,163000,8
26,20190805,080000,8,20190805,163000,8
27,20190812,080000,8,20190812,163000,8
28,20190817,060000,8,20190817,163000,8
29,20190821,223000,8,20190821,083000,8
30,20190826,043000,8,20190826,153000,8
31,20190826,230000,8,20190827,100000,8
32,20190902,070000,8,20190919,163000,8
33,20190904,080000,8,20190904,130000,8
34,20190909,070000,8,20190909,110000,8
35,20190910,120000,8,20190910,163000,8
36,20190913,003000,8,20190913,093000,8
37,20190916,073000,8,20190916,150000,8
38,20190917,040000,8,20190918,100000,8
39,20190920,073000,8,20190920,153000,8
40,20190925,073000,8,20190925,160000,8
41,20190926,090000,8,20190926,163000,8
42,20191002,083000,8,20191002,163000,8
43,20191004,083000,8,20191004,160000,8
44,20191007,063000,8,20191007,143000,8
45,20191008,230000,8,20191009,060000,8
46,20191009,230000,8,20191010,060000,8
47,20191011,014000,8,20191011,170000,8
48,20191016,040000,8,20191016,090000,8
49,20191017,094500,8,20191017,160000,8
50,20191021,070000,8,20191021,130000,8
51,20191030,070000,8,20191030,150000,8
52,20191031,070000,8,20191031,160000,8
53,20191104,090000,8,20191104,153000,8
54,20191106,090000,8,20191106,150000,8
55,20191108,073000,8,20191108,153000,8
56,20191129,070000,8,20191129,140000,8
57,20191202,100000,8,20191202,163000,8
58,20191203,110000,8,20191203,170000,8
59,20191211,070000,8,20191211,133000,8
60,20191212,020000,8,20191212,080000,8
61,20191213,073000,8,20191213,130000,8
62,20191217,065000,8,20191217,133000,8
63,20191218,040000,8,20191218,103000,8
64,20191220,220000,8,20191220,040000,8
65,20191221,50000,8,20191221,830000,8
66,20200108,093000,8,20200108,160000,8
67,20200114,064000,8,20200114,141500,8
68,20200115,063500,8,20200115,130500,8
69,20200117,100000,8,20200117,160000,8
70,20200121,080000,8,20200121,140000,8
71,20200123,110000,8,20200123,170000,8
72,20200125,063000,8,20200125,120000,8
73,20200130,040000,8,20200130,100000,8
74,20200131,040000,8,20200131,100000,8
75,20200205,030000,8,20200205,090000,8
76,20200207,074500,8,20200207,140000,8
77,20200213,033000,8,20200213,093000,8
78,20200214,030000,8,20200214,100000,8
79,20200218,063000,8,20200218,140000,8
80,20200221,074500,8,20200221,143000,8
81,20200227,052000,8,20200227,113000,8
82,20200228,103000,8,20200228,163000,8
83,20200305,063000,8,20200305,140000,8
84,20200413,051500,8,20200413,113000,8
85,20200422,080000,8,20200422,143000,8
86,20200429,091000,8,20200429,152500,8
87,20200504,072000,8,20200505,140000,8
88,20200519,065500,8,20200519,130000,8
89,20200521,102000,8,20200521,163000,8
90,20200526,090000,8,20200526,160000,8
91,20200529,070000,8,20200529,130000,8
92,20200601,080000,8,20200601,140000,8
93,20200603,070000,8,20200603,132000,8
94,20200604,063000,8,20200604,133000,8
