ext_nro,fecha,hora_inicio,hora_fin
57,20190606,095000,113000
58,20190606,162600,165000
59,20190606,133500,154000
60,20190611,070000,092000
61,20190611,093000,113000
62,20190511,114000,134000
63,20190613,113000,120500
64,20190613,151000,154000
65,20190614,092000,094500
66,20190614,095500,100500
67,20190614,141000,142000
68,20190614,115000,121000
69,20190614,113200,114500
70,20190614,111500,113000
71,20190614,101000,102700
72,20190618,082800,084800
73,20190618,085500,091500
74,20190618,091800,092800
75,20190618,093500,095800
76,20190618,110500,112000
77,20190618,112200,113000
78,20190619,111500,150000
79,20190619,162800,164000
80,20190620,090000,102000
81,20190621,091000,094000
82,20190621,091000,094000
83,20190621,094500,104500
84,20190621,131500,134000
85,20190621,140000,154500
86,20190624,091000,111000
87,20190624,112000,164000
88,20190625,141000,143500
89,20190625,144000,145700
90,20190626,090000,091000
91,20190626,093000,101000
92,20190626,114000,155500
93,20190626,160000,163500
94,20190627,090000,100000
95,20190627,160100,163300
96,20190628,072000,102000
97,20190628,114000,133000
98,20190701,083000,085000
99,20190701,144500,153000
100,20190702,120000,131500
101,20190703,070000,071300
102,20190704,110000,120000
103,20190704,160000,163000
104,20190704,093000,110000
105,20190704,142500,143800
106,20190704,144500,151000
107,20190705,073500,081800
108,20190705,082000,120000
109,20190705,104500,115200
110,20190708,100000,115100
111,20190708,140000,153500
112,20190709,091500,103100
113,20190709,104000,113000
114,20190710,071200,073000
115,20190710,133000,141500
116,20190710,133000,141500
117,20190710,133000,141500
118,20190710,142000,153000
119,20190710,142000,153000
120,20190710,142000,153000
121,20190710,142000,153000
122,20190710,142000,142000
123,20190710,153500,164000
124,20190711,064500,071500
125,20190711,091000,170000
126,20190711,100000,101000
127,20190711,101500,111000
128,20190712,133500,135000
129,20190712,135500,141000
130,20190712,135500,141000
131,20190712,141500,142700
132,20190715,143500,145000
133,20190715,141500,142700
134,20190712,153000,155000
135,20190712,155000,163000
136,20190716,092000,101500
137,20190716,102000,104000
138,20190716,102000,104000
139,20190716,104500,105400
140,20190715,133000,143500
141,20190716,105500,140600
142,20190716,141500,150000
143,20190716,150700,151500
144,20190717,102200,103300
145,20190717,103800,140500
146,20190717,141000,143000
147,20190717,141000,143000
148,20190717,143500,154000
149,20190717,143500,154000
150,20190717,155000,160500
151,20190717,161000,752500
152,20190718,093800,125700
153,20190718,144000,145000
154,20190718,135700,160500
155,20190718,140000,153000
156,20190719,160000,163000
157,20190719,164000,173000
158,20190719,114000,144000
159,20190719,164800,091000
160,20190722,092000,120000
161,20190723,161500,162500
162,20190923,155000,090000
163,20190725,104000,140000
164,20190724,141500,151500
165,20190725,163000,170000
165,20190725,070000,083500
166,20190725,102000,113000
167,20190725,150500,154000
168,20190726,071000,090200
169,20190726,110000,120000
170,20190729,140000,143000
171,20190729,163000,170000
172,20190730,153000,105000
173,20190729,163000,170000
174,20190730,105500,165000
175,20190731,095000,103000
176,20190731,142800,1630000
177,20190801,064500,705000
178,20190801,084500,102200
179,20190801,102800,104300
180,20190808,065700,074200
181,20190808,071500,072000
182,20190808,141000,160000
183,20190808,164000,165000
183,20190809,070000,120000
183,20190809,130000,144000
184,20190809,154500,170000
185,20180812,072000,103400
186,20190814,070000,071500
187,20190814,150000,161700
187,20190816,065500,080000
187,20190816,082000,120000
188,20190820,064000,065700
188,20190820,082400,090200
189,20190821,132100,135100
189,20190821,143000,145400
189,20190821,161100,163000
190,20190821,100000,101300
191,20190821,114000,120000
191,20190821,132300,135000
192,20190821,152000,154300
192,20190821,163500,165100
193,20190822,102500,103800
193,20190822,105600,113100
194,20190822,141400,151300
194,20190822,155500,160000
194,20190822,161500,164100
194,20190822,164500,165400
195,20190823,073500,080000
195,20190823,083000,084200
195,20190823,090000,091600
196,20190823,100700,103300
196,20190823,105000,110500
197,20190823,132500,142300
198,20190823,155700,161000
198,20190823,161500,164000
198,20190826,073000,075900
198,20190826,082000,082500
199,20190826,112600,120000
199,20190826,130300,132500
200,20190826,142000,143000
201,20190826,155500,161500
202,20190827,162000,162500
203,20190827,162500,164500
203,20190828,065800,070500
203,20190828,072400,074700
204,20190829,113000,114800
204,20190829,131500,133400
204,20190829,134000,135300
205,20190819,164500,164800
206,20190829,164800,170200
207,20190830,092000,094000
207,20190830,100000,101500
208,20190830,105000,105500
209,20190902,104500,110000
210,20190903,082000,084000
210,20190903,084500,101700
210,20190903,104000,110300
210,20190903,133400,135600
211,20190904,162500,164000
212,20190904,071500,073700
213,20190904,090000,093200
214,20190904,112700,113500
215,20190904,114000,114500
216,20190904,114800,115400
217,20190904,115500,120000
218,20190904,131500,132000
219,20190904,132500,133500
220,20190904,151500,153500
220,20190904,164000,170000
220,20190905,082500,085500
221,20190905,143000,152200
221,20190905,153000,153500
221,20190905,063000,064800
221,20190905,094300,094900
222,20190906,103500,112500
223,20190906,133000,133500
224,20190906,162000,170000
225,20190909,131300,132500
226,20190909,131300,132900
227,20190909,134000,140600
228,20190909,154100,161600
229,20190910,074800,080000
229,20190910,083000,085000
229,20190910,105400,110500
230,20190910,111000,113000
231,20190911,104400,112700
232,20190910,143000,144000
233,20190911,103000,104000
233,20190912,083000,091200
234,20190912,110000,113700
235,20190912,141000,143000
235,20190912,144300,145100
235,20190912,154000,160300
236,20190912,072000,073100
237,20190913,082800,085100
237,20190913,090000,090800
238,20190913,095500,101300
238,20190913,103300,104000
239,20190913,113000,114400
239,20190913,133700,140900
239,20190913,143700,144700
240,20190913,152600,154600
240,20190913,155500,161000
240,20190913,074100,075200
240,20190913,093200,095200
241,20190916,151000,152500
242,20190917,090300,102200
243,20190917,113500,120000
244,20190917,131500,132000
245,20190917,150200,151200
246,20190917,152000,160400
247,20190917,161500,162000
247,20190918,133700,153600
248,20190918,155700,170500
248,20190918,064300,075400
248,20190918,084500,091500
249,20190919,093000,110000
249,20190919,112200,113800
250,20190919,114700,120000
250,20190919,131000,134800
251,20190919,143100,145600
252,20190920,082100,083500
253,20190924,135800,140500
253,20190924,143000,151100
253,20190924,163300,170200
254,20190924,085000,085600
255,20190924,090000,093000
256,20190924,140500,142000
257,20190924,144000,152000
257,20190924,154300,155000
258,20190924,155700,164000
258,20190924,071000,071700
259,20190925,150000,153000
260,20190925,085500,091000
260,20190925,095100,100000
261,20190925,100500,103000
261,20190925,105600,113000
261,20190925,133700,141000
262,20190925,144200,150200
262,20190925,155000,161200
262,20190926,050300,052000
263,20190926,111500,112000
263,20190926,130700,131400
264,20190926,131500,014000
265,20190926,143500,145000
266,20190930,073700,080000
267,20190930,102000,105800
267,20190930,133500,135000
268,20190330,160000,1615000
268,20190330,095500,102400
269,20191001,103500,105000
270,20191001,131000,133000
271,20191001,151700,152100
271,20191004,041700,042400
271,20191004,043300,044500
272,20191004,051700,053400
272,20191004,054000,054500
272,20191004,603000,061700
272,20191004,064800,071000
273,20191004,063500,070600
274,20191004,093300,100200
274,20191004,101600,103600
275,20191004,113100,120000
275,20191004,134100,134800
276,20191004,135400,-
277,20191007,084000,090000
278,20191007,084000,090000
279,20191007,084000,090000
280,20191007,090400,091000
281,20191007,093500,101700
282,20191007,104500,111300
282,20191007,140500,141200
282,20191007,142700,144000
283,20191007,144500,145200
283,20191007,153600,154800
284,20191007,155000,160000
285,20191008,074500,080000
285,20191008,082000,084200
286,20191008,091000,913000
286,20191008,094000,095400
287,20191008,115000,120000
288,20191008,131500,133000
288,20191008,134000,135800
288,20191008,155200,161200
288,20191009,113500,115600
288,20191009,130500,131800
289,20191009,133500,134700
289,20191009,143000,143500
290,20191009,144000,145700
291,20191009,150000,151200
292,20191009,161000,164200
292,20191010,092000,093500
293,20191011,134000,142500
293,20191011,150000,153200
293,20191011,160400,163800
294,20191014,090000,100000
295,20191014,083000,090000
297,20191015,073900,080000
297,20191015,082500,095200
298,20191015,141700,145000
299,20191015,154500,164500
299,20191016,095000,101500
300,20191016,103500,104300
300,20191016,113400,115000
300,20191016,103500,NULL
300,20191016,113400,115000
300,20191016,135500,141300
300,20191016,143500,145000
300,20191016,151000,151800
300,20191016,154500,160000
301,20191017,091300,093800
301,20191017,095000,100000
301,20191017,102700,103700
302,20191017,104000,105200
303,20191017,141600,142800
304,20191017,143000,145200
305,20191017,152500,153300
306,20191017,153500,155700
306,20191018,101000,103400
307,20191021,063800,065000
308,20191024,072500,074000
309,20191024,072500,074000
310,20191024,074200,080000
310,20191024,081100,082800
311,20191024,074000,080000
311,20191024,081900,082800
312,20191024,074000,080000
312,20191024,081900,082800
313,20191024,072500,074000
314,20191024,072500,074000
315,20191025,082000,830000
316,20191025,083500,084000
317,20191028,072000,080000
318,20191020,141700,160400
318,20191020,093000,111300
318,20191020,133500,140300
319,20191020,141700,160400
319,20191020,093000,111300
319,20191020,133500,140300
320,20191029,141000,142300
320,20191029,145100,151500
320,20191029,153000,155300
320,20191029,160500,162800
321,20191030,072500,074000
321,20191030,090300,095500
321,20191030,102500,103500
322,20191030,111000,101700
323,20191030,131000,132500
323,20191030,135800,144200
324,20191030,104500,1610000
324,20191030,162500,164000
324,20191030,083500,090000
324,20191030,111000,112600
325,20191030,132000,140500
325,20191030,143500,151500
325,20191030,160500,164400
326,20191101,074000,080000
326,20191101,082500,083700
326,20191101,091200,102500
327,20191001,112500,120300
328,20191101,132000,151000
329,20191101,152100,163800
330,20191104,134500,145000
331,20191104,145500,151200
331,20191104,153000,154500
332,20191104,145500,151200
332,20191104,163000,164200
333,20191104,000000,000000
334,20191105,142500,145300
335,20191105,150500,152200
335,20191105,153500,154300
336,20191106,073800,080000
336,20191106,082000,084000
337,20191107,071000,072500
338,20191107,072800,074000
339,20191107,100000,101500
339,20191107,105000,110000
339,20191107,114000,120000
340,20191107,013300,134000
340,20191107,135000,142000
340,20191107,153000,154500
341,20191108,160000,162000
342,20191108,094500,101200
342,20191108,103500,104500
342,20191108,104900,105500
343,20191108,131600,132800
343,20191108,142500,144000
344,20191111,144500,154000
345,20191111,082000,082000
345,20191111,092000,095000
346,20191111,000000,000000
347,20191111,000000,000000
348,20191114,072000,072500
349,20191115,082000,083200
350,20191126,145500,150500
351,20191126,150500,151100
352,20191126,151300,151800
353,20191126,152000,152500
354,20191126,152700,153500
355,20191126,153700,154100
356,20191127,104500,105500
357,20191127,103800,104300
358,20191127,103000,103500
359,20191127,102000,102800
360,20191127,101000,101800
361,20191129,071000,072500
362,20191127,134500,145500
363,20191128,132500,140000
364,20191128,142500,145500
364,20191128,161000,165100
365,20191129,090500,091000
366,20191129,091500,092200
367,20191127,105800,111500
368,20191129,145000,152500
368,20191129,155500,162000
368,20191129,163800,170000
369,20191202,130000,131500
370,20191202,111500,120000
370,20191202,131800,133300
371,20191202,140500,141000
371,20191202,142800,144200
372,20191202,160000,162500
373,20191103,103200,104700
374,20191209,144500,151300
374,20191209,154500,161000
374,20191209,162000,162500
375,20191210,084600,094400
375,20191210,114000,120000
376,20191210,131200,132000
377,20191210,132500,133000
378,20191210,141500,151600
379,20191211,093500,094300
380,20191211,093500,094300
381,20191211,095000,101000
382,20191211,095000,101000
383,20191210,102500,111000
383,20191210,114000,120000
383,20191210,131500,132900
384,20191211,152200,161900
384,20191212,072000,080000
385,20191212,132500,134000
385,20191212,135500,140500
385,20191212,143600,145000
386,20191212,100000,102000
387,20191212,105000,105800
388,20191213,132600,135800
388,20191213,143000,153300
388,20191213,155000,164300
389,20191216,074500,080000
389,20161216,082500,084800
390,20161216,133000,144000
390,20191216,145500,151700
391,20191216,152000,160300
392,20191217,101000,103600
393,20191217,101000,103600
394,20191217,133000,134200
395,20191217,114300,120000
396,20191217,151500,153000
396,20191217,161100,163500
397,20191217,134500,135000
397,20191217,141000,142000
397,20191217,143200,144200
398,20191218,115000,115800
399,20191218,130300,131200
400,20191218,135500,140200
401,20191218,140500,140800
402,20191218,141000,141700
403,20191218,141000,141700
404,20191218,151000,151500
405,20191218,151700,152000
406,20191218,152500,153000
407,20191219,064000,070500
407,20191219,072000,072500
408,20191219,082300,082900
409,20191219,082800,083500
410,20191219,103000,110000
411,20191219,113900,120000
411,20191219,133000,134900
412,20191219,154700,161200
413,20191219,163000,164200
413,20191220,044500,050100
413,20191220,051500,053000
413,20191220,065700,073000
414,20191220,085000,091000
414,20191220,092000,094500
415,20191220,102500,104000
415,20191220,104600,110800
416,20191220,133800,141600
417,20191220,132200,144000
418,20191223,150000,153600
419,20200103,150500,154000
419,20200103,160500,163000
419,20200106,070500,074500
420,20200106,141000,143000
420,20200106,145500,151500
420,20200106,153500,160000
420,20200107,064500,065500
421,20200107,070500,072200
422,20200107,102500,103600
423,20200108,155000,163500
424,20200109,145500,154300
425,20200109,161000,164500
