nro,fecha,hora_inicio_extrusion,hora_fin_extrusion,id_rrhh,op,subop,perfil
1,20190219,102000,111500,3,NULL,NULL,PROFILE-0078
2,20190219,084000,095000,3,NULL,NULL,PROFILE-0078
3,20190221,110800,122000,3,NULL,NULL,PROFILE-0077
4,20190225,133000,144000,3,NULL,NULL,PROFILE-0079
5,20190225,145000,160000,3,NULL,NULL,PROFILE-0083
6,20190227,093000,095000,3,NULL,NULL,PROFILE-0132
7,20190227,102000,114000,3,NULL,NULL,PROFILE-0083
8,20190227,131000,133000,3,NULL,NULL,PROFILE-0082
9,20190228,102000,115000,3,NULL,NULL,PROFILE-0083
10,20190302,091000,112000,3,NULL,NULL,PROFILE-0074
11,20190306,102000,115000,3,NULL,NULL,PROFILE-0083
12,20190308,133000,150200,3,NULL,NULL,PROFILE-0079
13,20190318,091700,100200,3,NULL,NULL,PROFILE-0082
14,20190320,112500,121000,3,NULL,NULL,PROFILE-0075
15,20190320,NULL,NULL,3,NULL,NULL,PROFILE-0083
16,20190320,132000,150300,3,NULL,NULL,PROFILE-0176
17,20190329,132500,150400,3,NULL,NULL,PROFILE-0076
18,20190329,153000,162000,3,NULL,NULL,PROFILE-0079
19,20190405,110000,122000,3,NULL,NULL,PROFILE-0102
20,20190408,131500,133000,3,NULL,NULL,PROFILE-0075
21,20190409,110000,122000,3,NULL,NULL,PROFILE-0083
22,20190410,131500,142000,3,NULL,NULL,PROFILE-0078
23,20190410,151500,163000,3,NULL,NULL,PROFILE-0080
24,20190411,112600,114000,3,NULL,NULL,PROFILE-0082
25,20190411,085000,094000,3,NULL,NULL,PROFILE-0074
26,20190412,095500,112000,3,NULL,NULL,PROFILE-0135
27,20190412,132000,142800,3,NULL,NULL,PROFILE-0136
28,20190415,104500,115000,3,NULL,NULL,PROFILE-0080
29,20190415,161000,165000,3,NULL,NULL,PROFILE-0075
30,20190416,131000,132500,3,NULL,NULL,PROFILE-0075
31,20190416,135500,145300,3,NULL,NULL,PROFILE-0076
32,20190416,160000,165000,3,NULL,NULL,PROFILE-0081
33,20190417,131500,143000,3,NULL,NULL,PROFILE-0082
34,20190424,131000,144000,3,NULL,NULL,PROFILE-0079
35,20190425,161000,162000,3,NULL,NULL,PROFILE-0078
36,20190430,131000,135000,3,NULL,NULL,PROFILE-0078
37,20190502,133500,150000,3,NULL,NULL,PROFILE-0078
38,20190502,150700,161000,3,NULL,NULL,PROFILE-0093
39,20190503,133000,143500,3,NULL,NULL,PROFILE-0095
40,20190503,144000,153500,3,NULL,NULL,PROFILE-0175
41,20190506,143500,154500,3,NULL,NULL,PROFILE-0098
42,20190507,164000,165600,3,NULL,NULL,PROFILE-0133
43,20190520,131000,132700,3,NULL,NULL,PROFILE-0116
44,20190520,133000,135800,3,NULL,NULL,PROFILE-0104
45,20190520,140500,142200,3,NULL,NULL,PROFILE-0169
46,20190522,142800,152800,3,NULL,NULL,PROFILE-0181
47,20190523,143500,150700,3,7,1,PROFILE-0104
48,20190523,151500,154000,3,7,2,PROFILE-0116
49,20190523,155000,165500,3,7,4,PROFILE-0120
50,20190524,134500,145200,3,7,8,PROFILE-0124
