nro_extrusion,cod_matriz,nro_serie_matriz
1,DIE-0005,1
2,DIE-0005,1
3,DIE-0004,1
4,DIE-0006,1
5,DIE-0010,1
6,DIE-0050,1
7,DIE-0010,1
8,DIE-0009,1
9,DIE-0010,1
10,DIE-0001,1
11,DIE-0010,1
12,DIE-0006,1
13,DIE-0009,1
14,DIE-0002,1
15,DIE-0010,1
16,DIE-0073,1
17,DIE-0003,1
18,DIE-0006,1
19,DIE-0024,1
20,DIE-0002,1
21,DIE-0010,1
22,DIE-0005,1
23,DIE-0007,1
24,DIE-0009,1
25,DIE-0001,1
26,DIE-0053,1
27,DIE-0054,1
28,DIE-0007,1
29,DIE-0002,1
30,DIE-0002,1
31,DIE-0003,1
32,DIE-0008,1
33,DIE-0009,2
34,DIE-0006,1
35,DIE-0005,1
36,DIE-0005,1
37,DIE-0005,1
38,DIE-0019,1
39,DIE-0020,1
40,DIE-0072,1
41,DIE-0022,1
42,DIE-0051,1
43,DIE-0031,1
44,DIE-0030,1
45,DIE-0070,1
46,DIE-0077,1
47,DIE-0030,1
48,DIE-0031,1
49,DIE-0035,1
50,DIE-0041,1
51,DIE-0042,1
52,DIE-0063,1
53,DIE-0065,1
54,DIE-0070,1
55,DIE-0064,1
56,DIE-0060,1
57,DIE-0031,1
58,DIE-0042,1
59,DIE-0032,1
60,DIE-0035,1
61,DIE-0041,1
62,DIE-0042,1
63,DIE-0040,1
64,DIE-0034,1
65,DIE-0039,1
66,DIE-0067,1
67,DIE-0078,1
68,DIE-0071,1
69,DIE-0069,1
70,DIE-0062,1
71,DIE-0068,1
72,DIE-0035,1
73,DIE-0032,1
74,DIE-0017,1
75,DIE-0016,1
76,DIE-0039,1
77,DIE-0078,1
78,DIE-0034,1
79,DIE-0062,1
80,DIE-0071,1
81,DIE-0068,1
82,DIE-0067,1
83,DIE-0032,1
84,DIE-0063,1
85,DIE-0035,1
86,DIE-0042,1
87,DIE-0041,1
88,DIE-0050,1
89,DIE-0031,1
90,DIE-0064,1
91,DIE-0060,1
92,DIE-0032,1
93,DIE-0042,1
94,DIE-0035,1
95,DIE-0063,1
96,DIE-0041,1
97,DIE-0064,1
98,DIE-0070,1
99,DIE-0060,1
100,DIE-0031,1
101,DIE-0048,1
102,DIE-0080,1
103,DIE-0080,1
104,DIE-0071,1
105,DIE-0031,1
106,DIE-0064,1
107,DIE-0070,1
108,DIE-0060,1
109,DIE-0040,1
110,DIE-0035,1
111,DIE-0042,1
112,DIE-0032,1
113,DIE-0018,1
114,DIE-0071,1
115,DIE-0033,1
116,DIE-0036,1
117,DIE-0038,1
118,DIE-0031,1
119,DIE-0076,1
120,DIE-0061,1
121,DIE-0066,1
122,DIE-0074,1
123,DIE-0075,1
124,DIE-0029,1
125,DIE-0032,1
126,DIE-0002,1
127,DIE-0008,1
128,DIE-0016,1
129,DIE-0067,1
130,DIE-0068,1
131,DIE-0031,1
132,DIE-0029,1
133,DIE-0078,1
134,DIE-0050,1
135,DIE-0010,1
136,DIE-0001,1
137,DIE-0074,1
138,DIE-0075,1
139,DIE-0080,1
140,DIE-0029,1
141,DIE-0006,2
142,DIE-0002,1
143,DIE-0048,1
144,DIE-0038,1
145,DIE-0032,1
146,DIE-0069,1
147,DIE-0076,1
148,DIE-0078,1
149,DIE-0031,1
150,DIE-0002,2
151,DIE-0070,1
152,DIE-0063,1
153,DIE-0060,1
154,DIE-0064,1
155,DIE-0007,1
156,DIE-0077,1
157,DIE-0078,1
158,DIE-0048,1
159,DIE-0005,1
160,DIE-0060,1
161,DIE-0009,1
162,DIE-0080,1
163,DIE-0032,1
164,DIE-0081,1
165,DIE-0004,1
166,DIE-0073,1
167,DIE-0003,2
168,DIE-0070,1
169,DIE-0032,1
170,DIE-0002,1
171,DIE-0078,1
172,DIE-0047,1
173,DIE-0041,1
174,DIE-0041,1
175,DIE-0029,1
176,DIE-0002,2
177,DIE-0009,1
178,DIE-0031,1
179,DIE-0032,1
180,DIE-0009,1
181,DIE-0073,1
182,DIE-0009,2
183,DIE-0032,1
184,DIE-0073,1
185,DIE-0073,1
186,DIE-0006,1
187,DIE-0008,1
188,DIE-0006,1
189,DIE-0006,1
190,DIE-0051,1
191,DIE-0061,1
192,DIE-0029,1
193,DIE-0003,1
194,DIE-0006,2
195,DIE-0002,2
196,DIE-0010,1
197,DIE-0009,2
198,DIE-0072,1
199,DIE-0069,1
200,DIE-0002,1
201,DIE-0072,1
202,DIE-0081,1
203,DIE-0080,1
204,DIE-0018,1
205,DIE-0081,1
206,DIE-0022,1
207,DIE-0076,1
208,DIE-0074,1
209,DIE-0075,1
210,DIE-0022,1
211,DIE-0002,1
212,DIE-0074,1
213,DIE-0081,1
214,DIE-0043,1
215,DIE-0049,1
216,DIE-0045,1
217,DIE-0044,1
218,DIE-0037,1
219,DIE-0079,1
220,DIE-0081,1
221,DIE-0002,2
222,DIE-0002,1
223,DIE-0079,1
224,DIE-0009,1
225,DIE-0037,1
226,DIE-0075,1
227,DIE-0080,1
228,DIE-0038,1
229,DIE-0036,1
230,DIE-0009,2
231,DIE-0003,2
232,DIE-0003,1
233,DIE-0048,1
234,DIE-0048,1
235,DIE-0079,1
236,DIE-0079,1
237,DIE-0003,2
238,DIE-0003,2
239,DIE-0081,1
240,DIE-0080,1
241,DIE-0003,1
242,DIE-0007,1
243,DIE-0080,1
244,DIE-0080,1
245,DIE-0077,1
246,DIE-0077,2
247,DIE-0005,1
248,DIE-0004,1
249,DIE-0006,1
250,DIE-0001,1
251,DIE-0001,1
252,DIE-0074,1
253,DIE-0003,1
254,DIE-0077,1
255,DIE-0072,1
256,DIE-0072,1
257,DIE-0050,1
258,DIE-0018,1
259,DIE-0048,1
260,DIE-0080,1
261,DIE-0002,2
262,DIE-0076,1
263,DIE-0074,1
264,DIE-0009,1
265,DIE-0009,1
266,DIE-0029,1
267,DIE-0029,1
268,DIE-0005,2
269,DIE-0010,2
270,DIE-0010,1
271,DIE-0010,2
272,DIE-0010,1
273,DIE-0064,1
274,DIE-0043,1
275,DIE-0037,1
276,DIE-0079,1
277,DIE-0025,1
278,DIE-0046,1
279,DIE-0021,1
280,DIE-0055,1
281,DIE-0079,1
282,DIE-0079,1
283,DIE-0048,1
284,DIE-0080,1
285,DIE-0075,1
286,DIE-0044,1
287,DIE-0072,1
288,DIE-0077,2
289,DIE-0074,1
290,DIE-0009,2
291,DIE-0055,1
292,DIE-0064,1
293,DIE-0005,2
294,DIE-0009,2
295,DIE-0080,1
296,DIE-0072,1
297,DIE-0074,1
298,DIE-0072,1
299,DIE-0079,1
300,DIE-0079,1
301,DIE-0076,1
302,DIE-0076,1
303,DIE-0025,1
304,DIE-0023,1
305,DIE-0055,1
306,DIE-0077,2
307,DIE-0051,1
308,DIE-0026,1
309,DIE-0059,1
310,DIE-0056,1
311,DIE-0058,1
312,DIE-0057,1
313,DIE-0027,1
314,DIE-0028,1
315,DIE-0080,1
316,DIE-0009,2
317,DIE-0049,1
318,DIE-0004,1
319,DIE-0004,1
320,DIE-0006,2
321,DIE-0072,1
322,DIE-0009,1
323,DIE-0076,1
324,DIE-0077,2
325,DIE-0001,1
326,DIE-0005,1
327,DIE-0005,1
328,DIE-0007,1
329,DIE-0007,1
330,DIE-0016,1
331,DIE-0074,1
332,DIE-0074,1
333,DIE-0014,1
334,DIE-0013,1
335,DIE-0052,1
336,DIE-0015,1
337,DIE-0009,1
338,DIE-0038,1
339,DIE-0038,1
340,DIE-0069,1
341,DIE-0061,1
342,DIE-0036,1
343,DIE-0066,1
344,DIE-0040,1
345,DIE-0040,1
346,DIE-0009,1
347,DIE-0016,1
348,DIE-0026,1
349,DIE-0027,1
350,DIE-0046,1
351,DIE-0082,1
352,DIE-0082,2
353,DIE-0083,1
354,DIE-0085,2
355,DIE-0085,1
356,DIE-0056,1
357,DIE-0058,1
358,DIE-0077,1
359,DIE-0084,2
360,DIE-0084,1
361,DIE-0009,1
362,DIE-0051,1
363,DIE-0072,1
364,DIE-0046,1
365,DIE-0082,1
366,DIE-0074,1
367,DIE-0009,2
368,DIE-0074,1
369,DIE-0082,2
370,DIE-0009,2
371,DIE-0074,1
372,DIE-0075,1
373,DIE-0047,1
374,DIE-0003,2
375,DIE-0047,1
376,DIE-0087,1
377,DIE-0090,1
378,DIE-0010,2
379,DIE-0083,1
380,DIE-0088,1
381,DIE-0086,1
382,DIE-0084,1
383,DIE-0041,1
384,DIE-0031,1
385,DIE-0070,1
386,DIE-0087,1
387,DIE-0058,1
388,DIE-0032,1
389,DIE-0032,1
390,DIE-0021,1
391,DIE-0061,1
392,DIE-0072,1
393,DIE-0072,1
394,DIE-0072,1
395,DIE-0072,1
396,DIE-0072,1
397,DIE-0072,1
398,DIE-0097,1
399,DIE-0096,1
400,DIE-0100,1
401,DIE-0095,1
