nro_extrusion,cant_culote,peso_total__kg
19,1,0.61
20,1,0.606
21,1,0.667
22,1,0.667
23,1,0.667
24,1,0.667
25,1,0.667
26,1,0.667
27,1,0.667
28,1,0.667
29,1,0.667
30,1,0.667
31,1,0.667
32,1,0.667
33,1,0.667
34,1,660.24
36,15,9.77
37,27,17.333
38,22,12.981
39,21,13.171
40,16,10.12
41,22,14.609
42,3,1.977
43,3,2.161
44,4,2.894
45,3,2.231
46,21,13.722
47,6,3.768
48,9,5.779
49,22,14.198
50,20,12.905
51,11,7.099
52,10,6.519
53,18,11.574
54,21,13.618
55,8,5.229
56,17,11.197
57,15,10.147
58,7,4.802
59,8,5.465
60,13,8.563
61,13,8.456
62,11,7.163
63,3,2.044
64,3,2.044
65,3,2.368
66,2,1.384
67,3,2.041
68,4,2.771
69,3,2.037
70,3,2.041
71,3,2.034
72,2,1.421
73,2,1.427
74,2,1.427
75,2,1.401
76,2,1.31
77,2,1.367
78,18,11.211
79,12,8.033
80,12,8.103
81,2,1.384
82,2,1.367
83,8,5.119
84,6,3.845
85,13,8.336
86,21,13.435
87,28,18.397
88,5,3.418
89,9,6.002
90,12,8.036
91,12,7.336
92,8,5.085
93,15,9.664
94,21,12.905
95,15,9.507
96,20,12.795
97,17,10.871
98,18,11.554
99,17,10.904
100,3,1.884
101,18,11.554
102,24,15.306
103,4,3.014
104,11,7.256
105,3,2.308
106,9,6.036
107,19,11.778
108,21,13.125
109,23,14.762
110,21,13.458
111,18,11.571
112,5,3.328
113,18,11.257
114,3,1.887
115,3,1.784
116,3,1.871
117,3,1.844
118,6,3.728
119,3,1.901
120,3,1.814
121,3,1.884
122,2,1.21
123,3,1.977
124,3,1.757
125,22,14.702
126,2,1.264
127,3,1.911
128,2,1.32
129,2,1.324
130,2,1.32
131,2,1.354
132,2,1.334
133,2,1.381
134,2,1.394
135,18,12.458
136,5,3.291
137,3,1.981
138,3,1.974
139,3,1.997
140,23,15.872
141,18,11.814
142,5,3.235
143,3,1.954
144,3,2.067
145,4,2.861
146,2,1.32
147,2,1.397
148,2,1.414
149,3,2.127
150,2,1.274
151,27,17.44
152,27,17.31
153,8,4.878
154,33,21.434
155,20,12.981
156,20,13.105
157,13,8.41
158,29,18.323
159,16,10.32
160,28,17.69
161,2,1.337
162,36,22.468
163,6,3.768
164,17,10.424
165,16,9.794
166,25,15.592
167,15,9.58
168,31,20.941
169,7,4.715
170,2,1.367
171,6,4.058
172,24,15.969
173,42,28.077
174,42,28.077
175,17,10.921
176,13,8.803
177,2,1.37
178,21,14.222
179,3,2.021
180,4,2.911
181,2,1.461
182,10,5.989
183,38,23.645
184,11,6.809
185,15,9.313
186,2,1.494
187,42,24.572
188,15,9.4
189,18,11.644
190,10,6.903
191,18,12.238
192,31,19.474
193,20,13.605
194,35,21.572
195,10,6.316
196,21,13.472
197,9,5.469
198,26,16.206
199,24,14.745
200,2,1.2
201,7,4.202
202,1,0.64
203,20,12.645
204,22,13.472
205,1,653.571
206,2,1.2
207,24,13.438
208,1,65.357
209,2,1.26
210,20,12.471
211,3,18.273
212,16,10.024
213,19,12.071
214,2,12.805
215,2,12.405
216,2,13.271
217,2,13.405
218,2,0.68
219,2,13.358
220,39,23.742
221,18,11.137
222,7,3.995
223,8,44.883
224,5,26.71
225,2,13.271
226,2,13.138
227,20,12.111
228,15,8.823
229,22,12.921
230,2,1.194
231,5,27.443
232,3,1.914
233,380,23.782
234,23,105.838
235,50,28.677
236,16,9.177
237,20,11.771
238,14,8.05
239,37,23.088
240,38,23.922
241,3,16.939
242,21,12.885
243,6,33.012
244,16,9.41
245,3,14.105
246,30,18.513
247,17,10.03
248,38,22.755
249,21,12.685
250,2,12.725
251,9,51.285
252,2,12.725
253,56,32.662
254,4,19.467
255,13,6.809
256,6,34.346
257,8,46.617
258,22,13.405
259,3,13.271
260,19,10.01
261,19,10.731
262,56,35.853
263,7,37.814
264,4,19.4
265,5,21.141
266,13,7.983
267,32,19.634
268,11,6.749
269,2,12.138
270,13,7.843
271,15,9.103
272,45,27.393
273,7,37.68
274,20,12.471
275,21,13.095
276,19,10.751
277,2,12.011
278,2,12.678
279,2,15.033
280,2,12.491
281,25,15.346
282,33,19.587
283,9,49.084
284,4,23.075
285,12,6.689
287,7,37.814
288,57,32.692
289,1,58.221
290,2,11.137
291,6,34.413
292,32,19.847
293,36,20.648
294,3,14.012
295,2,10.804
296,NULL,NULL
297,24,14.285
298,17,10.01
299,58,18.44
300,81,18.273
301,45,25.809
302,10,57.354
303,4,22.775
304,6,32.785
305,6,32.645
306,48,27.777
307,7,28.344
308,2,11.551
309,2,11.644
310,2,11.671
311,2,11.237
312,2,12.004
313,2,11.491
314,2,11.324
315,4,14.285
316,2,10.697
317,19,11.658
318,41,25.789
319,11,6.449
320,45,26.049
321,35,20.074
323,57,32.692
324,53,30.398
325,42,24.662
326,30,16.446
327,13,6.709
328,30,17.206
329,29,16.633
330,7,27.477
331,6,28.077
332,6,28.077
333,0,0
334,20,11.478
335,19,11.317
336,17,9470.107
