nro_extrusion,nro_salida,long_muestraperfil__cm,peso_muestra__g,UPLE,
1,NULL,100,136.716,0.205,
2,NULL,100,136.716,0.205,
3,NULL,100,93.367,0.14,
4,NULL,100,253.425,0.38,
5,NULL,100,410.149,0.615,
6,NULL,100,173.396,0.26,
7,NULL,100,410.149,0.615,
8,NULL,100,153.389,0.23,
9,NULL,100,410.149,0.615,
10,NULL,100,143.385,0.215,
11,NULL,100,410.149,0.615,
12,NULL,100,253.425,0.38,
13,NULL,100,154.723,0.232,
14,NULL,100,166.727,0.25,
15,NULL,100,410.149,0.615,
16,NULL,100,1067.054,1.6,
17,NULL,100,363.465,0.545,
18,NULL,100,254.092,0.381,
19,1,100,463.502,0.695,
20,3,100,170.062,0.255,
21,1,100,404.147,0.606,
22,4,100,143.385,0.215,
23,1,100,100.036,0.15,
23,2,100,100.036,0.15,
23,3,100,96.702,0.145,
23,4,100,100.036,0.15,
25,1,100,140.051,0.21,
25,2,100,140.051,0.21,
25,3,100,140.051,0.21,
25,4,100,140.051,0.21,
26,1,49.1,257.86,0.7874745418,0.7874745418
27,1,50.6,288.145,0.8538735178,
28,1,100,103.371,0.155,
28,2,100,103.371,0.155,
28,3,100,103.371,0.155,
28,4,100,103.371,0.155,
29,1,50,80.029,0.24,
29,2,50,80.029,0.24,
29,3,50,80.029,0.24,0.24
30,1,100,160.058,0.24,
30,2,100,160.058,0.24,
30,3,100,160.058,0.24,
31,1,50,186.735,0.56,
32,1,48.7,22.268,0.0685626283,
32,2,48.7,22.268,0.0685626283,
32,3,48.7,22.268,0.0685626283,
32,4,48.7,22.268,0.0685626283,
32,5,48.7,22.268,0.0685626283,
32,6,48.7,22.268,0.0685626283,
32,7,48.7,22.268,0.0685626283,
32,8,48.7,22.268,0.0685626283,0.0685626283
33,1,59.9,87.098,0.2180300501,
33,2,51.2,90.379,0.2646875,0.241358775
34,1,100,250.091,0.375,
34,2,100,250.091,0.375,
36,1,50,70.025,0.21,
36,2,50,70.025,0.21,
36,3,50,70.025,0.21,
36,4,50,70.025,0.21,
37,1,100,140.051,0.21,
37,2,100,140.051,0.21,
37,3,100,140.051,0.21,
37,4,100,140.051,0.21,
38,1,50.4,80.529,0.2395833333,
38,2,50.4,80.529,0.2395833333,
38,3,50.4,80.529,0.2395833333,0.2395833333
