nro_extrusion,longitud__m,cantidad,tipo_contenedor,nro_contenedor,
1,6,359,0,0,2154
1,3,50,0,0,150
2,6,406,0,0,2436
3,6,416,0,0,2496
3,5,12,0,0,60
3,3,43,0,0,129
4,6,226,0,0,1356
4,5,4,0,0,20
4,4,2,0,0,8
5,6,67,0,0,402
5,5,11,0,0,55
5,2,2,0,0,4
6,6,81,0,0,486
6,5,10,0,0,50
6,3,3,0,0,9
7,6,78,0,0,468
7,3,1,0,0,3
8,6,34,0,0,204
8,5,1,0,0,5
8,3,4,0,0,12
9,6,119,0,0,714
9,5,26,0,0,130
9,4,4,0,0,16
10,6,320,0,0,1920
10,5,10,0,0,50
11,6,119,0,0,714
11,5,26,0,0,130
11,4,4,0,0,16
12,6,346,0,0,2076
12,3,42,0,0,126
13,6,119,0,0,714
13,4,4,0,0,16
13,3,30,0,0,90
14,6,87,0,0,522
14,5,3,0,0,15
14,4,9,0,0,36
14,3,19,0,0,57
15,6,122,0,0,732
15,2,26,0,0,52
16,6,134,0,0,804
17,6,186,0,0,1116
17,5,4,0,0,20
18,6,136,0,0,816
19,6,118,0,0,708
20,6,45,0,0,270
20,5,12,0,0,60
20,3,4,0,0,12
21,6,140,0,0,840
21,2,1,0,0,2
21,5,19,0,0,95
22,6,420,0,0,2520
22,3,8,0,0,24
23,6,327,0,0,1962
23,4,5,0,0,20
24,0,0,0,0,0
25,6,295,0,0,1770
25,4,4,0,0,16
26,6,99,0,0,594
27,6,78,0,0,468
27,4,8,0,0,32
27,3,3,0,0,9
28,6,813,0,0,4878
28,5,60,0,0,300
28,4,15,0,0,60
28,3,9,0,0,27
29,6,109,0,0,654
29,5,15,0,0,75
29,4,27,0,0,108
29,3,5,0,0,15
30,6,13,0,0,78
30,5,2,0,0,10
30,4,8,0,0,32
30,3,3,0,0,9
31,6,96,0,0,576
31,5,2,0,0,10
31,4,1,0,0,4
32,6,574,0,0,3444
32,5,5,0,0,25
32,4,144,0,0,576
33,6,70,0,0,420
33,5,8,0,0,40
33,4,1,0,0,4
34,6,267,0,0,1602
34,5,1,0,0,5
34,4,2,0,0,8
34,3,4,0,0,12
34,2,2,0,0,4
35,0,0,0,0,0
36,6,210,0,0,1260
36,5,52,0,0,260
36,4,2,0,0,8
37,6,403,0,0,2418
37,5,97,0,0,485
38,6,315,0,0,1890
39,6,368,0,0,2208
40,6,58,0,0,348
40,5,1,0,0,5
41,6,212,0,0,1272
42,6,18,0,0,108
42,5,1,0,0,5
42,4,1,0,0,4
43,6,11,0,0,66
43,5,2,0,0,10
44,6,77,0,0,462
44,5,7,0,0,35
44,4,6,0,0,24
44,3,6,0,0,18
45,6,7,0,0,42
45,5,1,0,0,5
46,6,81,0,0,486
46,5,1,0,0,5
46,3,2,0,0,6
47,6,119,0,0,714
47,5,23,0,0,115
48,6,38,0,0,228
48,5,3,0,0,15
48,3,1,0,0,3
49,6,64,0,0,384
49,5,1,0,0,5
49,4,1,0,0,4
50,6,96,0,0,576
50,4,2,0,0,8
51,5,44,0,0,220
51,4,10,0,0,40
52,6,44,0,0,264
52,5,2,0,0,10
53,6,89,0,0,534
53,5,1,0,0,5
54,4.5,60,0,0,270
54,4,17,0,0,68
55,6,33,0,0,198
55,5,1,0,0,5
56,6,59,0,0,354
56,5,1,0,0,5
57,6,70,0,0,420
57,5,2,0,0,10
57,4,2,0,0,8
58,6,28,0,0,168
58,5,4,0,0,20
58,4,3,0,0,12
59,6,187,0,0,1122
59,5,42,0,0,210
59,3,11,0,0,33
60,6,36,0,0,216
60,5,1,0,0,5
61,6,62,0,0,372
61,5,2,0,0,10
61,4,1,0,0,4
62,6,49,0,0,294
62,5,2,0,0,10
62,4,1,0,0,4
62,3,1,0,0,3
63,6,52,0,0,312
63,5,4,0,0,20
63,3,4,0,0,12
64,6,54,0,0,324
64,5,6,0,0,30
64,3,8,0,0,24
65,6,24,0,0,144
65,5,1,0,0,5
65,4,5,0,0,20
65,3,4,0,0,12
66,6,7,0,0,42
