nro,es_prueba,pos_sierra_corte,long_mesa,temp_entrada_tocho__c,temp_salida_perfil__c,sugiere_correccion_matriz,extrusion_detenida,comentarios
1,0,0,NULL,NULL,NULL,0,0,NULL
2,0,0,NULL,NULL,NULL,0,0,NULL
3,0,0,NULL,NULL,NULL,0,0,NULL
4,0,0,NULL,NULL,NULL,0,0,NULL
5,0,0,NULL,NULL,NULL,0,0,NULL
6,0,0,NULL,NULL,NULL,0,0,NULL
7,0,0,NULL,NULL,NULL,0,0,NULL
8,0,0,NULL,NULL,NULL,0,0,NULL
9,0,0,NULL,NULL,NULL,0,0,NULL
10,0,0,NULL,NULL,NULL,0,0,NULL
11,0,0,NULL,NULL,NULL,0,0,NULL
12,0,0,NULL,NULL,NULL,0,0,NULL
13,0,0,NULL,NULL,NULL,0,0,NULL
14,0,0,NULL,NULL,NULL,0,0,NULL
15,0,0,NULL,NULL,NULL,0,0,NULL
16,0,0,NULL,NULL,NULL,0,0,NULL
17,0,0,NULL,NULL,NULL,0,0,NULL
18,0,0,NULL,NULL,NULL,0,0,NULL
19,0,0,NULL,NULL,NULL,0,0,NULL
20,0,0,NULL,NULL,NULL,0,0,NULL
21,0,0,NULL,NULL,NULL,0,0,NULL
22,0,0,NULL,NULL,NULL,0,0,NULL
23,0,0,NULL,NULL,NULL,0,0,NULL
24,0,0,NULL,NULL,NULL,0,0,NULL
25,0,0,NULL,NULL,NULL,0,0,NULL
26,0,0,NULL,NULL,NULL,0,0,NULL
27,0,0,NULL,NULL,NULL,0,0,NULL
28,0,0,NULL,NULL,NULL,0,0,NULL
29,0,0,NULL,NULL,NULL,0,0,NULL
30,0,0,NULL,NULL,NULL,0,0,NULL
31,0,0,33.3,NULL,NULL,0,0,NULL
32,0,0,NULL,NULL,NULL,0,0,(dato anonimizado)
33,0,0,22.2,NULL,NULL,0,0,(dato anonimizado)
34,0,0,33.2,NULL,NULL,0,0,NULL
35,0,0,NULL,NULL,NULL,0,0,NULL
36,0,0,31.8,NULL,NULL,0,0,NULL
37,0,0,34,NULL,NULL,0,0,NULL
38,0,0,33,NULL,NULL,0,0,NULL
39,0,0,32.5,NULL,NULL,0,0,NULL
40,0,0,27.5,NULL,NULL,0,0,NULL
41,0,0,33.3,NULL,NULL,0,0,NULL
42,0,0,40,NULL,NULL,0,0,NULL
43,0,0,31.8,NULL,NULL,0,0,NULL
44,0,0,26.6,NULL,NULL,0,0,NULL
45,0,0,21,NULL,NULL,0,0,NULL
46,0,0,28.9,NULL,NULL,0,0,NULL
47,0,0,32.3,NULL,NULL,0,0,NULL
48,0,0,32.7,NULL,NULL,0,0,NULL
49,0,0,20.5,NULL,NULL,0,0,NULL
50,0,0,33.7,NULL,NULL,0,0,NULL
51,0,0,27.7,NULL,NULL,0,0,NULL
52,0,0,33.8,NULL,NULL,0,0,(dato anonimizado)
53,0,0,33.9,NULL,NULL,0,0,(dato anonimizado)
54,0,0,21.7,NULL,NULL,0,0,NULL
55,0,0,33.9,NULL,NULL,0,0,(dato anonimizado)
56,0,0,27.7,NULL,NULL,0,0,NULL
57,0,0,32.8,NULL,NULL,0,0,(dato anonimizado)
58,0,0,32.8,NULL,NULL,0,0,NULL
59,0,0,31.8,NULL,NULL,0,0,(dato anonimizado)
60,0,0,20.4,NULL,NULL,0,0,NULL
61,0,0,33.4,NULL,NULL,0,0,NULL
62,0,0,33,NULL,NULL,0,0,NULL
