nro_extrusion,long__cm,cantidad,peso_1tocho__kg
1,60.0,18,19.174
2,58.0,20,18.807
3,42.0,20,13.944
4,66.0,18,21.665
5,41.5,15,13.825
6,41.5,8,13.585
7,44.0,15,13.585
8,44.0,3,14.539
9,41.0,30,13.408
10,47.0,20,15.422
11,41.0,30,13.408
12,66.0,28,21.665
13,39.0,12,12.835
14,39.0,15,12.718
15,42.1,30,13.785
16,61.5,27,20.171
17,38.0,40,12.331
18,51.4,14,16.899
19,47.3,26,15.626
20,41.6,5,13.69
21,41.9,32,13.759
22,55.3,20,18.138
22,41.0,3,13.438
23,41.0,14,13.438
24,38.4,3,13.301
25,57.9,15,18.997
26,55.3,20,18.09
26,35.0,1,11.404
27,55.3,20,18.09
27,35.0,1,11.404
28,41.0,26,13.301
28,41.5,18,13.535
29,39.2,14,12.838
30,39.2,2,12.838
31,38.0,20,12.505
32,34.9,19,11.321
33,38.2,10,12.583
34,51.4,28,16.829
35,55.3,1,18.12
36,55.3,13,18.12
36,26.3,1,8.62
36,27.0,1,8.74
37,55.3,26,18.12
37,26.6,1,8.433
38,26.5,1,8.733
38,48.8,21,15.942
39,24.2,1,7.966
39,25.5,1,8.413
39,52.7,19,17.3
40,26.5,1,8.683
40,32.0,1,10.457
40,52.9,14,17.3
41,35.0,2,11.404
41,52.7,20,17.3
42,55.3,3,18.09
43,43.2,3,13.918
44,53.7,4,17.65
45,60.1,3,19.59
46,34.8,2,11.405
46,42.6,19,13.908
47,34.8,2,11.405
47,64.4,4,21.152
48,43.2,9,14.155
49,50.3,22,16.501
50,50.7,20,16.624
51,54.6,11,17.851
52,60.4,10,19.821
53,55.2,18,18.075
54,34.8,2,11.405
54,60.1,10,19.765
54,60.1,9,19.765
55,61.1,6,19.997
55,37.4,1,12.298
55,36.0,1,11.811
56,23.5,1,7.739
56,23.4,1,7.676
56,65.8,15,21.579
57,43.2,15,14.695
58,64.4,7,21.051
59,54.6,8,17.883
60,49.9,13,16.377
61,50.7,13,16.606
62,65.1,10,21.089
62,41.4,1,13.588
63,41.2,3,13.536
64,43.1,3,14.15
65,55.0,3,18.005
66,52.7,2,17.27
67,38.0,3,12.518
68,34.6,1,11.411
68,61.4,3,20.129
69,37.5,3,12.322
70,54.3,3,17.808
71,53.2,3,17.453
72,49.9,2,16.377
73,54.6,2,17.883
74,38.5,1,12.668
74,38.0,1,12.518
75,38.0,2,12.518
76,55.0,2,18.005
77,38.0,2,12.518
78,40.3,18,13.255
79,53.4,12,17.51
80,54.1,13,17.756
81,53.2,2,17.198
82,52.7,2,17.04
83,55.9,8,18.083
84,59.1,6,19.087
85,49.4,26,15.984
86,63.9,21,20.565
87,49.8,20,16.106
87,49.8,8,16.106
88,53.3,5,18.515
89,43.2,9,14.182
90,55.2,12,18.088
91,25.6,1,8.473
91,25.6,1,8.453
91,65.8,10,21.603
92,55.9,8,18.018
93,63.9,13,20.584
93,28.4,1,9.34
93,27.9,1,9.2
94,48.6,21,15.607
95,59.1,15,19.072
95,24.4,1,7.903
95,23.8,1,7.723
96,49.8,20,16.052
97,59.7,17,19.377
98,33.0,1,10.744
98,56.6,17,18.267
99,31.5,1,10.277
99,63.5,16,20.454
100,42.7,3,13.732
101,51.6,17,16.633
101,2.8,1,9.103
102,51.0,15,16.387
102,50.9,3,16.431
102,51.0,1,16.683
102,51.0,1,16.699
102,20.4,1,6.712
102,20.6,1,6.792
102,38.0,1,12.264
102,37.2,1,12.074
103,51.0,4,16.387
