nro_carga,id_proveedor,fecha_recepcion,REMISION,FACTURA,comentarios
1,6,20181218,NULL,6885,(dato anonimizado)
2,5,NULL,NULL,NULL,(dato anonimizado)
3,5,NULL,NULL,NULL,(dato anonimizado)
5,6,20190430,NULL,NULL,(dato anonimizado)
4,5,20190305,26601,NULL,(dato anonimizado)
6,5,20190516,3789,NULL,(dato anonimizado)
7,5,20190618,NULL,22350,(dato anonimizado)
8,5,20190705,4916,NULL,(dato anonimizado)
9,5,20190705,4915,NULL,(dato anonimizado)
10,5,20190820,5799,NULL,(dato anonimizado)
11,6,20190828,NULL,5025,(dato anonimizado)
12,5,20190909,6201,NULL,(dato anonimizado)
13,6,20191004,NULL,6001,(dato anonimizado)
14,6,20191128,8450,7562,(dato anonimizado)
15,5,20191220,442,NULL,(dato anonimizado)
16,5,20191220,NULL,2959,(dato anonimizado)
17,5,20191220,NULL,2332,(dato anonimizado)
18,5,20200120,2735,NULL,(dato anonimizado)
19,6,20200123,NULL,8532,(dato anonimizado)
20,5,20200204,1163,NULL,(dato anonimizado)
21,5,20200219,1444,NULL,(dato anonimizado)
22,5,20200219,1443,NULL,(dato anonimizado)
23,5,20200227,1584,NULL,(dato anonimizado)
24,7,20200305,NULL,NULL,(dato anonimizado)
25,5,20200703,NULL,9915,(dato anonimizado)
