nro_carga,nro_subcarga,cod_pintura_proveedor,lote,fecha_elab,fecha_venc
1,1,B-2048,153682/18,20180727,20190727
2,1,13550551,1962419,20180827,20190223
2,2,13550551,2013953,20181128,20191127
3,1,14783988,NULL,NULL,NULL
5,1,P-3603,157637/19,NULL,NULL
4,1,12837591,NULL,NULL,NULL
4,2,12812335,NULL,NULL,NULL
6,1,14783988,NULL,NULL,NULL
7,1,12876482,2027123,20181128,20191128
7,2,12077482,2085122,20190308,20200307
8,1,14583835,2149121,20190616,20200617
9,1,14560394,1961469,20180824,20190824
9,2,14560394,2137117,20190530,20200529
9,3,14560394,2138784,20190531,20200530
9,4,14560394,2156715,20190530,20200530
10,1,12837591,NULL,NULL,NULL
11,1,P-3603,160300/19,20190807,20200807
11,2,P-3603,159820/19,20190712,20200712
12,1,14783988,2185019,20190816,20200816
13,1,P-3603,160300/19,20190807,20200807
14,1,P-3603,160300/19,20190807,20200807
15,1,14783988,2083540,20190306,20200305
16,1,2256220,14001026,20191125,20201124
17,1,12837591,2264343,20191105,20201104
18,1,14583835,2188338,20190816,20200815
19,1,P-3603,160300/19,20190807,20200807
19,2,P-3603,161946/19,20191101,20201101
20,1,14583835,2286071,20200121,20210121
20,2,14583835,2286070,20200120,20210219
21,1,12812335,2077285,20190227,20200227
22,1,14783988,2129486,20190516,20200515
22,2,14783988,2185019,20190816,20200815
23,1,14001026,2274189,20191216,20201215
24,1,90053,a92028,20200213,20210213
24,2,90053,a90951,20200210,20210210
24,3,90053,a92022,20200213,20210213
25,1,10005895,224061,20191104,20201103
