cod_pintura_proveedor,desc_segunproveedor,id_color,id_proveedor,id_marca
10005903,(dato anonimizado),3,5,5
11990210,(dato anonimizado),2,5,5
12837591,(dato anonimizado),11,5,5
13550551,(dato anonimizado),5,5,5
14560394,(dato anonimizado),13,5,5
14583835,(dato anonimizado),2,5,5
14783988,(dato anonimizado),1,5,5
12812335,(dato anonimizado),10,5,5
M-3608,(dato anonimizado),5,6,6
P-3603,(dato anonimizado),3,6,6
12077482,(dato anonimizado),4,5,5
12876482,(dato anonimizado),4,5,5
2256220,(dato anonimizado),12,5,5
B-2048,(dato anonimizado),4,6,6
14001026,(dato anonimizado),12,5,5
90053,(dato anonimizado),1,7,7
10005895,(dato anonimizado),14,5,5
