nro_caja,nro_carga,nro_subcarga
1,7,2
2,7,2
3,7,2
4,7,2
5,7,2
6,7,2
7,7,2
8,7,2
9,7,2
10,7,2
11,7,2
12,7,2
13,7,2
14,7,2
15,7,2
16,7,2
17,7,2
18,7,1
19,7,1
20,7,1
21,7,1
22,7,1
23,7,1
24,13,1
25,13,1
26,19,1
27,13,1
28,13,1
29,13,1
30,13,1
31,13,1
32,13,1
33,14,1
34,14,1
35,14,1
36,14,1
37,14,1
38,14,1
39,14,1
40,14,1
41,11,2
42,11,2
43,16,1
44,16,1
45,16,1
46,16,1
47,17,1
48,17,1
49,8,1
50,8,1
51,8,1
52,8,1
53,18,1
54,18,1
55,2,2
56,2,2
57,2,1
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,1
64,2,1
65,6,1
66,6,1
67,12,1
68,12,1
69,12,1
70,12,1
71,12,1
72,12,1
73,12,1
74,12,1
75,12,1
76,12,1
77,12,1
78,12,1
79,8,1
80,9,4
81,9,2
82,9,2
83,9,4
84,9,4
85,9,4
86,9,4
87,9,4
88,9,4
89,9,4
90,9,4
91,9,4
92,9,4
93,9,4
94,9,4
95,9,4
96,9,4
97,9,4
98,9,4
99,9,4
100,9,4
101,9,3
102,9,3
103,9,3
104,9,3
105,9,3
106,9,3
107,9,1
108,9,1
109,9,1
110,9,1
111,9,1
112,9,1
113,9,1
114,9,1
115,9,1
116,9,1
117,11,2
118,19,2
119,19,2
120,19,2
121,19,2
122,19,2
123,19,2
124,19,2
125,19,2
126,19,2
127,19,2
128,19,2
129,16,1
130,17,1
131,18,1
132,4,1
133,4,1
134,10,1
135,10,1
136,2,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,2,1
149,2,1
150,2,1
151,2,1
152,2,1
153,2,1
154,2,1
155,2,1
156,2,1
157,2,1
158,2,1
159,2,1
160,2,1
161,2,1
162,2,1
163,2,1
164,21,1
165,22,1
166,22,2
167,22,2
168,4,2
169,4,2
170,8,1
171,2,1
172,2,1
173,7,2
174,7,2
175,7,2
176,7,1
177,7,1
178,7,1
179,7,1
180,7,1
181,7,1
182,7,1
183,7,1
184,7,1
185,7,1
186,7,1
187,7,1
188,7,1
189,7,1
190,8,1
191,8,1
192,8,1
193,8,1
194,8,1
195,8,1
196,8,1
197,8,1
198,8,1
199,8,1
200,8,1
201,8,1
202,8,1
203,8,1
204,8,1
205,8,1
206,8,1
207,8,1
208,8,1
209,8,1
210,8,1
211,8,1
212,8,1
213,8,1
214,8,1
215,8,1
216,8,1
217,8,1
218,8,1
219,8,1
220,8,1
221,8,1
222,8,1
223,8,1
224,8,1
225,12,1
226,12,1
227,12,1
228,12,1
229,12,1
230,12,1
231,12,1
232,12,1
233,12,1
234,12,1
235,12,1
236,12,1
237,12,1
238,12,1
239,12,1
240,12,1
241,12,1
242,12,1
243,12,1
244,12,1
245,12,1
246,12,1
247,12,1
248,12,1
249,12,1
250,12,1
251,12,1
252,12,1
392,15,1
393,15,1
255,15,1
256,15,1
257,15,1
258,15,1
259,15,1
260,15,1
261,15,1
262,15,1
263,15,1
264,15,1
265,15,1
266,15,1
267,15,1
268,15,1
269,15,1
270,15,1
271,15,1
272,15,1
273,6,1
274,6,1
275,6,1
276,6,1
277,6,1
278,6,1
279,6,1
280,6,1
281,6,1
282,6,1
283,6,1
284,6,1
285,6,1
286,6,1
287,6,1
288,6,1
289,6,1
290,6,1
291,6,1
292,6,1
293,6,1
294,6,1
295,6,1
296,6,1
297,6,1
298,6,1
299,6,1
300,6,1
301,6,1
302,6,1
303,6,1
304,6,1
305,6,1
306,6,1
307,6,1
308,6,1
309,6,1
310,6,1
311,3,1
312,3,1
313,5,1
314,5,1
315,13,1
316,13,1
317,13,1
318,13,1
319,1,1
320,1,1
321,11,1
322,11,1
323,11,1
324,11,1
325,11,1
326,11,1
327,11,1
170,20,1
329,20,1
330,20,1
331,20,1
332,20,1
333,20,1
334,20,1
335,20,1
336,20,1
337,20,1
338,20,1
339,20,1
340,20,1
341,20,1
342,20,1
343,20,1
344,20,1
345,20,2
346,20,2
347,20,2
348,20,2
349,20,2
350,20,2
351,20,2
352,20,2
353,20,2
354,20,2
355,20,2
357,20,2
358,20,2
359,20,2
360,20,2
361,20,2
362,20,2
363,20,2
364,20,2
365,22,2
366,22,2
367,22,2
368,22,2
369,22,2
370,22,2
371,22,2
372,22,2
373,22,2
374,22,2
375,22,2
376,22,2
377,22,2
378,22,2
379,22,2
380,22,2
381,22,2
382,23,1
383,23,1
384,23,1
385,23,1
386,23,1
387,23,1
388,23,1
389,23,1
253,24,1
254,24,2
390,24,2
394,24,2
395,24,2
396,24,2
397,24,2
398,24,1
399,24,1
400,25,1
401,25,1
402,25,1
403,24,3
404,24,2
405,24,2
