fecha,hora,respons,nro_caja,d_cantidad,nro_pedido_interno,es_fix,OK
20190506,NULL,9,173,-1,25197,0,NULL
20190529,NULL,9,311,-1,NULL,1,NULL
20190530,NULL,9,312,-1,NULL,1,NULL
20190530,NULL,9,65,-1,NULL,1,NULL
20190531,NULL,9,66,-1,NULL,1,NULL
20190606,NULL,9,174,-1,NULL,0,NULL
20190606,NULL,9,175,-1,NULL,0,NULL
20190610,NULL,5,176,-1,25200,0,NULL
20190620,NULL,10,177,-1,24606,0,NULL
20190620,NULL,10,178,-1,24611,0,NULL
20190620,NULL,10,179,-1,24615,0,NULL
20190625,NULL,11,273,-1,24616,1,NULL
20190627,NULL,3,274,-1,24617,1,NULL
20190628,NULL,10,275,-1,24619,1,NULL
20190701,NULL,10,276,-1,24622,1,NULL
20190701,NULL,11,277,-1,24623,1,NULL
20190702,NULL,5,62,-1,24624,0,NULL
20190703,NULL,10,278,-1,24627,1,NULL
20190704,NULL,4,279,-1,24628,1,NULL
20190705,NULL,10,280,-1,24629,1,NULL
20190705,NULL,10,281,-1,24630,1,NULL
20190709,NULL,4,282,-1,24632,1,NULL
20190710,NULL,10,283,-1,24635,1,NULL
20190710,NULL,10,284,-1,24637,1,NULL
20190715,NULL,5,180,-1,24639,0,NULL
20190716,NULL,5,190,-1,24641,0,NULL
20190718,NULL,10,285,-1,24645,1,NULL
20190729,NULL,5,191,-1,24648,0,NULL
20190731,NULL,11,286,-1,24649,1,NULL
20190805,NULL,5,287,-1,31101,1,NULL
20190808,NULL,4,181,-1,31102,0,NULL
20190809,NULL,4,288,-1,31103,1,NULL
20190813,NULL,4,289,-1,31104,1,NULL
20190816,NULL,4,290,-1,31105,1,NULL
20190819,NULL,4,192,-1,31106,0,NULL
20190823,NULL,4,291,-1,31108,1,NULL
20190826,NULL,5,292,-1,31109,1,NULL
20190828,NULL,10,293,-1,31111,1,NULL
20190828,NULL,11,294,-1,31112,1,NULL
20190828,NULL,11,295,-1,31112,1,NULL
20190903,NULL,10,313,-1,31115,0,NULL
20190903,NULL,10,296,-1,31115,1,NULL
20190917,NULL,10,194,-1,31119,0,NULL
20190918,NULL,10,195,-1,31121,0,NULL
20190919,NULL,10,196,-1,31122,0,NULL
20190919,NULL,10,197,-1,31057,0,NULL
20190923,NULL,4,200,-1,31071,0,NULL
20190923,NULL,10,198,-1,31124,0,NULL
20190923,NULL,10,199,-1,31124,0,NULL
20190925,NULL,10,201,-1,31127,0,NULL
20190925,NULL,10,202,-1,31127,0,NULL
20190925,NULL,10,203,-1,31127,0,NULL
20190927,NULL,10,297,-1,31130,1,NULL
20190927,NULL,10,298,-1,31130,1,NULL
20190927,NULL,10,299,-1,31130,1,NULL
20191001,NULL,4,300,-1,31131,1,NULL
20191004,NULL,10,182,-1,31131,0,NULL
20191004,NULL,10,183,-1,31132,0,NULL
20191007,NULL,4,302,-1,31134,1,NULL
20191007,NULL,5,301,-1,31133,1,NULL
20191008,NULL,5,303,-1,31134,1,NULL
20191009,NULL,10,304,-1,31135,1,NULL
20191009,NULL,10,305,-1,31135,1,NULL
20191010,NULL,10,306,-1,31135,1,NULL
20191014,NULL,10,204,-1,31136,0,NULL
20191015,NULL,5,205,-1,31136,0,NULL
20191016,NULL,10,193,-1,31118,0,NULL
20191016,NULL,11,27,-1,31136,0,NULL
20191017,NULL,5,314,-1,31137,0,NULL
20191018,NULL,10,321,-1,31137,0,NULL
20191021,NULL,8,206,-1,31137,0,NULL
20191022,NULL,13,207,-1,31137,0,NULL
20191022,NULL,13,322,-1,31137,0,NULL
20191022,NULL,13,307,-1,31137,1,NULL
20191023,NULL,5,323,-1,31138,0,NULL
20191024,NULL,5,308,-1,31138,1,NULL
20191028,NULL,5,208,-1,31139,0,NULL
20191028,NULL,5,209,-1,31139,0,NULL
20191030,NULL,1,210,-1,31145,0,NULL
20191030,NULL,1,211,-1,31145,0,NULL
20191030,NULL,1,212,-1,31145,0,NULL
20191030,NULL,1,213,-1,31145,0,NULL
20191030,NULL,1,214,-1,31145,0,NULL
20191030,NULL,1,309,-1,31145,1,NULL
20191030,NULL,1,310,-1,31145,1,NULL
20191030,NULL,1,68,-1,31145,1,NULL
20191030,NULL,1,70,-1,31145,1,NULL
20191030,NULL,5,324,-1,31142,0,NULL
20191031,NULL,5,136,-1,31142,0,NULL
20191101,NULL,5,184,-1,31146,0,NULL
20191101,NULL,5,71,-1,31146,1,NULL
20191101,NULL,5,72,-1,31146,1,NULL
20191105,NULL,5,185,-1,31146,0,NULL
20191108,NULL,5,215,-1,31148,0,NULL
20191112,NULL,5,73,-1,31148,1,NULL
20191114,NULL,9,217,-1,31150,0,NULL
20191114,NULL,9,325,-1,31149,0,NULL
20191114,NULL,15,216,-1,31150,0,NULL
20191118,135500,5,74,-1,31201,1,NULL
20191118,135500,5,75,-1,31201,1,NULL
20191119,090500,5,76,-1,31201,1,NULL
20191119,090500,5,77,-1,31201,1,NULL
20191119,140600,5,78,-1,31201,1,NULL
20191120,153000,5,188,-1,31202,0,NULL
20191121,153000,5,186,-1,31202,0,NULL
20191122,101500,11,187,-1,31203,0,NULL
20191122,101500,11,189,-1,31203,0,NULL
20191125,100000,12,326,-1,31203,0,NULL
20191125,100000,12,327,-1,31203,0,NULL
20191126,140700,14,225,-1,31204,1,NULL
20191126,140700,15,226,-1,31204,1,NULL
20191127,NULL,5,229,-1,31205,1,NULL
20191127,NULL,5,232,-1,31205,1,NULL
20191127,142000,9,228,-1,31205,1,NULL
