carga_nro,nro_bulto,nro_produccion,aleacion,cant_tocho0,long_tocho0__cm,peso_neto__kg,peso_bruto__kg
4,1,5084707,6063,6,600,1185.097,1192.1
4,2,5084706,6063,6,600,1184.764,1192.433
4,3,5084626,6063,6,600,1184.097,1190.432
4,4,5084623,6063,6,600,1186.764,1193.767
4,5,5084622,6063,6,600,1186.431,1193.767
4,6,5084621,6063,6,600,1184.097,1191.766
4,7,5084604,6063,6,600,1187.431,1193.767
4,8,5084591,6060,6,600,1188.432,1195.768
4,9,5085730,6063,6,600,1170.425,1177.094
4,10,5085716,6063,6,600,1167.758,1175.76
4,11,5085706,6063,6,600,1168.424,1176.427
4,12,5085705,6063,6,600,1167.424,1176.094
4,13,5085673,6063,6,600,1166.757,1174.093
4,14,5085672,6063,6,600,1166.424,1174.76
4,15,5085992,6063,6,600,1189.099,1196.435
5,1,BL19118710,6063,6,580,1137.747,1144.416
5,2,BL19118516,6063,6,580,1137.747,1144.416
5,3,BL19118707,6063,6,580,1137.08,1143.749
5,4,BL19118708,6063,6,580,1137.08,1143.749
5,5,BL19118711,6063,6,580,1137.08,1143.749
5,6,BL19118303,6063,6,580,1137.08,1143.749
5,7,BL19117907,6063,6,580,1137.08,1143.749
5,8,BL19118712,6063,6,580,1137.08,1143.749
5,9,BL19118706,6063,6,580,1137.08,1143.749
5,10,BL19118714,6063,6,580,1137.08,1143.749
5,11,BL19118715,6063,6,580,1137.08,1143.749
5,12,BL19117909,6063,6,580,1137.08,1143.749
5,13,BL19117811,6063,6,580,1137.08,1143.749
5,14,BL19117809,6063,6,580,1137.08,1143.749
6,1,5294840,6063,6,600,1167.424,1172.759
6,2,5294832,6063,6,600,1167.091,1172.092
6,3,5294808,6063,6,600,1169.425,1175.094
6,4,5294807,6063,6,600,1166.424,1172.426
6,5,5294806,6063,6,600,1167.424,1173.76
6,6,5294805,6063,6,600,1167.758,1173.093
6,7,5294804,6063,6,600,1166.09,1170.759
6,8,5294804,6063,6,600,1167.758,1173.426
6,9,5294789,6063,6,600,1175.427,1182.43
6,10,5294788,6063,6,600,1172.092,1178.762
6,11,5294787,6063,6,600,1174.76,1179.762
6,12,5294773,6063,6,600,1174.76,1180.095
6,13,5294772,6063,6,600,1174.427,1180.429
6,14,5296825,6063,6,600,1164.756,1171.092
6,15,5296824,6063,6,600,1173.093,1179.762
7,1,5395802,6063,6,600,1166.09,1172.092
7,2,5395801,6063,6,600,1166.757,1173.426
7,3,5395800,6063,6,600,1166.757,1173.76
7,4,5395799,6063,6,600,1167.091,1173.76
7,5,5395798,6063,6,600,1164.756,1171.426
7,6,5395797,6063,6,600,1165.757,1172.426
7,7,5395785,6063,6,600,1165.423,1172.426
7,8,5395783,6063,6,600,1165.09,1171.759
7,9,5395776,6063,6,600,1163.089,1169.758
7,10,5395768,6063,6,600,1165.423,1173.093
7,11,5395767,6063,6,600,1165.757,1173.426
7,12,5395766,6063,6,600,1166.757,1173.426
7,13,5395765,6063,6,600,1165.757,1172.759
7,14,5395764,6063,6,600,1164.423,1171.759
7,15,5395763,6063,6,600,1166.09,1173.093
8,1,54987141,6063,6,600,1176.427,1181.763
8,2,54987142,6063,6,600,1177.761,1183.096
8,3,54987143,6063,6,600,1180.095,1185.097
8,4,54987144,6063,6,600,1177.094,1181.096
8,5,54987145,6063,6,600,1179.428,1184.764
8,6,54987146,6063,6,600,1174.76,1180.762
8,7,54987147,6063,6,600,1176.761,1180.762
8,8,54987148,6063,6,600,1177.428,1182.43
8,9,5497210,6063,6,600,1186.431,1192.433
8,10,5497209,6063,6,600,1175.427,1181.096
8,11,5497208,6063,6,600,1184.764,1190.766
8,12,5497207,6063,6,600,1187.098,1193.1
8,13,5497206,6063,6,600,1185.431,1192.1
8,14,5497205,6063,6,600,1180.762,1186.431
8,15,5497204,6063,6,600,1183.096,1195.768
9,1,5697922,6063,6,600,1180.762,1190.432
9,2,5697923,6063,6,600,1185.097,1191.433
9,3,5697910,6063,6,600,1181.096,1188.765
9,4,5697897,6063,6,600,1178.095,1184.764
9,5,5697854,6063,6,600,1176.427,1184.43
9,6,5697733,6063,6,600,1179.762,1188.098
9,7,5697799,6063,6,600,1178.095,1184.764
9,8,5697813,6063,6,600,1177.094,1184.097
9,9,5697958,6063,6,600,1183.43,1189.766
9,10,5697957,6063,6,600,1185.431,1191.766
9,11,5697941,6063,6,600,1186.431,1193.434
9,12,5697926,6063,6,600,1181.096,1190.099
9,13,5697925,6063,6,600,1177.094,1184.43
9,14,5697924,6063,6,600,1183.763,1192.1
9,15,5697921,6063,6,600,1180.095,1188.432
