nro_tocho0,nro_carga,nro_bulto
118,NULL,NULL
119,NULL,NULL
120,NULL,NULL
121,NULL,NULL
122,NULL,NULL
123,NULL,NULL
124,NULL,NULL
186,NULL,NULL
187,NULL,NULL
188,NULL,NULL
189,NULL,NULL
190,NULL,NULL
191,NULL,NULL
192,NULL,NULL
193,NULL,NULL
194,NULL,NULL
195,4,12
196,4,12
197,4,12
198,4,12
199,4,12
200,4,12
201,4,11
202,4,11
203,4,11
204,4,11
205,4,11
206,4,11
207,4,13
208,4,13
209,4,13
210,4,13
211,4,13
212,4,13
213,4,9
214,4,9
215,4,9
216,4,9
217,4,9
218,4,9
219,4,15
220,4,15
221,4,15
222,4,15
223,4,15
224,4,15
225,4,10
226,4,10
227,4,10
228,4,10
229,4,10
230,4,10
231,4,4
232,4,4
233,4,4
234,4,4
235,4,4
236,4,4
237,4,3
238,4,3
239,4,3
240,4,3
241,4,3
242,4,3
243,4,6
244,4,6
245,4,6
246,4,6
247,4,6
248,4,6
249,4,5
250,4,5
251,4,5
252,4,5
253,4,5
254,4,5
255,4,8
256,4,8
257,4,8
258,4,8
259,4,8
260,4,8
261,4,14
262,4,14
263,4,14
264,4,14
265,4,14
266,4,14
267,4,2
268,4,2
269,4,2
270,4,2
271,4,2
272,4,2
273,4,1
274,4,1
275,4,1
276,4,1
277,4,1
278,4,1
279,4,7
280,4,7
281,4,7
282,4,7
283,4,7
284,4,7
285,5,9
286,5,9
287,5,9
288,5,9
289,5,9
290,5,9
291,5,8
292,5,8
293,5,8
294,5,8
295,5,8
296,5,8
297,5,7
298,5,7
299,5,7
300,5,7
301,5,7
302,5,7
303,5,11
304,5,11
305,5,11
306,5,11
307,5,11
308,5,11
309,5,3
310,5,3
311,5,3
312,5,3
313,5,3
314,5,3
315,5,6
316,5,6
317,5,6
318,5,6
319,5,6
320,5,6
321,5,5
322,5,5
323,5,5
324,5,5
325,5,5
326,5,5
327,5,1
328,5,1
329,5,1
330,5,1
331,5,1
332,5,1
333,5,4
334,5,4
335,5,4
336,5,4
337,5,4
338,5,4
339,5,13
340,5,13
341,5,13
342,5,13
343,5,13
344,5,13
345,5,12
346,5,12
347,5,12
348,5,12
349,5,12
350,5,12
351,5,10
352,5,10
353,5,10
354,5,10
355,5,10
356,5,10
357,5,2
358,5,2
359,5,2
360,5,2
361,5,2
362,5,2
363,5,14
364,5,14
365,5,14
366,5,14
367,5,14
368,5,14
369,6,8
370,6,8
371,6,8
372,6,8
373,6,8
374,6,8
375,6,7
376,6,7
377,6,7
378,6,7
379,6,7
380,6,7
381,6,11
382,6,11
383,6,11
384,6,11
385,6,11
386,6,11
387,6,6
388,6,6
389,6,6
390,6,6
391,6,6
392,6,6
393,6,9
394,6,9
395,6,9
396,6,9
397,6,9
398,6,9
399,6,4
400,6,4
401,6,4
402,6,4
403,6,4
404,6,4
405,6,5
406,6,5
407,6,5
408,6,5
409,6,5
410,6,5
411,6,15
412,6,15
413,6,15
414,6,15
415,6,15
416,6,15
417,6,3
418,6,3
419,6,3
420,6,3
421,6,3
422,6,3
423,6,14
424,6,14
425,6,14
426,6,14
427,6,14
428,6,14
429,6,12
430,6,12
431,6,12
432,6,12
433,6,12
434,6,12
435,6,1
436,6,1
437,6,1
438,6,1
439,6,1
440,6,1
441,6,10
442,6,10
443,6,10
444,6,10
445,6,10
446,6,10
