fecha,id_rrhh,cod_matriz,nro_serie_matriz,descripcion
20191023,4,DIE-0009,1,(dato anonimizado)
20191023,4,DIE-0010,2,(dato anonimizado)
20191023,4,DIE-0074,1,(dato anonimizado)
20191111,4,DIE-0016,1,(dato anonimizado)
20191118,4,DIE-0074,1,(dato anonimizado)
20191128,4,DIE-0115,1,(dato anonimizado)
20191128,4,DIE-0116,1,(dato anonimizado)
20191129,4,DIE-0117,1,(dato anonimizado)
20191202,4,DIE-0047,1,(dato anonimizado)
20191216,4,DIE-0086,1,(dato anonimizado)
20191218,4,DIE-0097,1,(dato anonimizado)
20191219,4,DIE-0086,1,(dato anonimizado)
