codigo,cod_tipo,cod_perfil,nro_salidas,cod_proveedor,es_fragil
DIE-0001,1,PROFILE-0074,4,4,0
DIE-0002,1,PROFILE-0075,3,4,0
DIE-0003,1,PROFILE-0076,1,4,1
DIE-0004,1,PROFILE-0077,4,4,0
DIE-0005,1,PROFILE-0078,4,4,0
DIE-0006,1,PROFILE-0079,2,4,0
DIE-0007,1,PROFILE-0080,4,4,0
DIE-0008,1,PROFILE-0081,8,4,0
DIE-0009,1,PROFILE-0082,3,4,0
DIE-0010,1,PROFILE-0083,1,4,1
DIE-0011,1,PROFILE-0084,2,4,0
DIE-0012,1,PROFILE-0085,2,4,0
DIE-0013,1,PROFILE-0086,1,4,0
DIE-0014,1,PROFILE-0087,1,4,1
DIE-0015,1,PROFILE-0088,2,4,0
DIE-0016,1,PROFILE-0089,3,4,1
DIE-0017,1,PROFILE-0090,1,4,0
DIE-0018,1,PROFILE-0091,1,4,0
DIE-0019,1,PROFILE-0093,3,4,0
DIE-0020,1,PROFILE-0095,4,4,0
DIE-0021,1,PROFILE-0096,4,4,0
DIE-0022,1,PROFILE-0098,2,4,0
DIE-0023,1,PROFILE-0100,1,4,0
DIE-0024,1,PROFILE-0102,1,4,0
DIE-0025,1,PROFILE-0139,3,4,0
DIE-0026,1,PROFILE-0140,1,4,0
DIE-0027,1,PROFILE-0141,1,4,0
DIE-0028,1,PROFILE-0142,1,4,0
DIE-0029,1,PROFILE-0103,1,4,0
DIE-0030,1,PROFILE-0104,6,4,0
DIE-0031,1,PROFILE-0116,1,4,0
DIE-0032,1,PROFILE-0117,6,4,0
DIE-0033,1,PROFILE-0118,2,4,0
DIE-0034,1,PROFILE-0119,4,4,0
DIE-0035,1,PROFILE-0120,1,4,0
DIE-0036,1,PROFILE-0064,1,4,0
DIE-0037,1,PROFILE-0165,1,4,0
DIE-0038,1,PROFILE-0121,2,4,0
DIE-0039,1,PROFILE-0122,2,4,0
DIE-0040,1,PROFILE-0123,4,4,1
DIE-0041,1,PROFILE-0124,1,4,0
DIE-0042,1,PROFILE-0125,1,4,0
DIE-0043,1,PROFILE-0171,1,4,0
DIE-0044,1,PROFILE-0172,1,4,0
DIE-0045,1,PROFILE-0173,1,4,0
DIE-0046,1,PROFILE-0174,3,4,0
DIE-0047,1,PROFILE-0126,3,4,0
DIE-0048,1,PROFILE-0127,1,4,1
DIE-0049,1,PROFILE-0066,1,4,0
DIE-0050,2,PROFILE-0132,3,4,0
DIE-0051,2,PROFILE-0133,1,4,1
DIE-0052,2,PROFILE-0134,1,4,0
DIE-0053,2,PROFILE-0135,1,4,0
DIE-0054,2,PROFILE-0136,1,4,0
DIE-0055,2,PROFILE-0138,1,4,0
DIE-0056,2,PROFILE-0143,2,4,1
DIE-0057,2,PROFILE-0144,1,4,1
DIE-0058,2,PROFILE-0145,2,4,1
DIE-0059,2,PROFILE-0146,3,4,0
DIE-0060,2,PROFILE-0157,1,4,0
DIE-0061,2,PROFILE-0159,1,4,0
DIE-0062,2,PROFILE-0160,1,4,1
DIE-0063,2,PROFILE-0161,1,4,1
DIE-0064,2,PROFILE-0162,1,4,0
DIE-0065,2,PROFILE-0163,1,4,0
DIE-0066,2,PROFILE-0164,1,4,0
DIE-0067,2,PROFILE-0166,1,4,0
DIE-0068,2,PROFILE-0167,1,4,0
DIE-0069,2,PROFILE-0168,1,4,0
DIE-0070,2,PROFILE-0169,1,4,1
DIE-0071,2,PROFILE-0170,1,4,1
DIE-0072,2,PROFILE-0175,1,4,0
