fecha,id_rrhh,matriz,nro_serie,dureza
20190624,4,DIE-0060,1,49.7
20190624,4,DIE-0064,1,57.1
20190621,4,DIE-0070,1,49.1
20190621,4,DIE-0071,1,47.5
20190621,4,DIE-0034,1,48.3
20190621,4,DIE-0060,1,47.2
20190621,4,DIE-0064,1,49.6
20190622,4,DIE-0070,1,57.1
20190622,4,DIE-0071,1,55.9
20190622,4,DIE-0034,1,55.9
20190622,4,DIE-0060,1,51.7
20190622,4,DIE-0064,1,50.1
20190701,4,DIE-0062,1,48.7
20190701,4,DIE-0042,1,60.9
20190701,4,DIE-0032,1,55.6
20190701,4,DIE-0035,1,61.8
20190701,4,DIE-0050,1,56.8
20190701,4,DIE-0062,1,54.5
20190708,4,DIE-0080,1,50.7
20190708,4,DIE-0070,1,57.6
20190708,4,DIE-0041,1,59
20190708,4,DIE-0048,1,49.8
20190708,4,DIE-0022,1,60.8
20190710,4,DIE-0080,1,75.5
20190710,4,DIE-0070,1,80.1
20190710,4,DIE-0041,1,80.3
20190710,4,DIE-0048,1,75.2
20190710,4,DIE-0022,1,79.6
20190709,4,DIE-0060,1,58.3
20190709,4,DIE-0064,1,59.5
20190709,4,DIE-0040,1,49.8
20190709,4,DIE-0003,1,62.8
20190709,4,DIE-0018,1,51.6
20190719,4,DIE-0054,1,47.8
20190719,4,DIE-0029,1,49.2
20190719,4,DIE-0019,1,47.7
20190719,4,DIE-0053,1,48.6
20190719,4,DIE-0020,1,48.2
20190719,4,DIE-0006,1,50
20190723,4,DIE-0073,1,56.8
20190724,4,DIE-0054,1,53.7
20190724,4,DIE-0020,1,55.3
20190724,4,DIE-0053,1,54.4
20190724,4,DIE-0019,1,53.8
20190724,4,DIE-0006,1,55.5
20190724,4,DIE-0029,1,54.9
20190719,4,DIE-0009,2,49.5
20190719,4,DIE-0072,1,49.7
20190719,4,DIE-0080,1,50.5
20190719,4,DIE-0003,2,49.7
20190719,4,DIE-0081,1,47.7
20190719,4,DIE-0078,1,49.05
20190719,4,DIE-0070,1,50.5
20190802,4,DIE-0077,1,49.5
20190802,4,DIE-0041,1,55.1
20190802,4,DIE-0047,1,48.7
20190802,4,DIE-0032,1,52.1
20190807,4,DIE-0009,1,55.5
20190807,4,DIE-0032,1,57.2
20190807,4,DIE-0003,2,53.1
20190807,4,DIE-0080,1,54.95
20190807,4,DIE-0072,1,52.65
20190807,4,DIE-0081,1,55.25
20190807,4,DIE-0078,1,54.25
20190807,4,DIE-0070,1,58.55
20190807,4,DIE-0077,1,55.05
