fecha_salida,fecha_retorno,id_rrhh_salida,id_rrhh_retorno,cod_matriz,nro_serie_matriz
20181106,20181108,0,0,DIE-0005,1
20181106,20181108,0,0,DIE-0006,1
20181106,20181108,0,0,DIE-0007,1
20181106,20181108,0,0,DIE-0010,1
20190222,20190224,0,0,DIE-0001,1
20190222,20190224,0,0,DIE-0002,1
20190222,20190224,0,0,DIE-0003,1
20190222,20190224,0,0,DIE-0004,1
20190222,20190224,0,0,DIE-0007,1
20190222,20190224,0,0,DIE-0008,1
20190222,20190224,0,0,DIE-0009,1
20190222,20190224,0,0,DIE-0077,1
20190429,20190430,0,0,DIE-0001,1
20190429,20190430,0,0,DIE-0005,1
20190429,20190430,0,0,DIE-0006,1
20190429,20190430,0,0,DIE-0010,1
20190429,20190430,0,0,DIE-0024,1
20190429,20190430,0,0,DIE-0073,1
20190606,20190607,0,0,DIE-0031,1
20190606,20190607,0,0,DIE-0035,1
20190606,20190607,0,0,DIE-0041,1
20190606,20190607,0,0,DIE-0042,1
20190622,20190624,0,0,DIE-0034,1
20190622,20190624,0,0,DIE-0060,1
20190622,20190624,0,0,DIE-0063,1
20190622,20190624,0,0,DIE-0064,1
20190622,20190624,0,0,DIE-0070,1
20190622,20190624,0,0,DIE-0071,1
20190628,20190701,0,0,DIE-0032,1
20190628,20190701,0,0,DIE-0035,1
20190628,20190701,0,0,DIE-0042,1
20190628,20190701,0,0,DIE-0050,1
20190628,20190701,0,0,DIE-0062,1
20190708,20190710,0,0,DIE-0022,1
20190708,20190710,0,0,DIE-0041,1
20190708,20190710,0,0,DIE-0048,1
20190708,20190710,0,0,DIE-0070,1
20190708,20190710,0,0,DIE-0080,1
20190709,20190711,0,0,DIE-0003,1
20190709,20190711,0,0,DIE-0018,1
20190709,20190711,0,0,DIE-0040,1
20190709,20190711,0,0,DIE-0060,1
20190709,20190711,0,0,DIE-0064,1
20190720,20190724,0,0,DIE-0006,2
20190720,20190724,0,0,DIE-0019,1
20190720,20190724,0,0,DIE-0020,1
20190720,20190724,0,0,DIE-0029,1
20190720,20190724,0,0,DIE-0053,1
20190720,20190724,0,0,DIE-0054,1
20190730,20190807,0,0,DIE-0003,2
20190730,20190807,0,0,DIE-0009,2
20190730,20190807,0,0,DIE-0070,1
20190730,20190807,0,0,DIE-0072,1
20190730,20190807,0,0,DIE-0078,1
20190730,20190807,0,0,DIE-0080,1
20190730,20190807,0,0,DIE-0081,1
20190802,20190807,0,0,DIE-0032,1
20190802,20190807,0,0,DIE-0041,1
20190802,20190807,0,0,DIE-0047,1
20190802,20190807,0,0,DIE-0077,1
20190828,20190903,0,0,DIE-0002,2
20190828,20190903,0,0,DIE-0006,1
20190828,20190903,0,0,DIE-0006,2
20190828,20190903,0,0,DIE-0008,1
20190828,20190903,0,0,DIE-0010,1
20190828,20190903,0,0,DIE-0029,1
20190902,20190904,0,0,DIE-0048,1
