cod_matriz,nro_serie,grabado
DIE-0001,1,NULL
DIE-0002,1,NULL
DIE-0002,2,NULL
DIE-0003,1,NULL
DIE-0003,2,NULL
DIE-0004,1,NULL
DIE-0005,1,NULL
DIE-0005,2,NULL
DIE-0006,1,NULL
DIE-0006,2,NULL
DIE-0007,1,NULL
DIE-0007,2,NULL
DIE-0008,1,NULL
DIE-0009,1,NULL
DIE-0009,2,NULL
DIE-0090,1,NULL
DIE-0010,1,NULL
DIE-0010,2,NULL
DIE-0011,1,NULL
DIE-0012,1,NULL
DIE-0013,1,NULL
DIE-0014,1,NULL
DIE-0015,1,NULL
DIE-0016,1,NULL
DIE-0017,1,NULL
DIE-0018,1,NULL
DIE-0019,1,NULL
DIE-0020,1,NULL
DIE-0021,1,(dato anonimizado)
DIE-0022,1,NULL
DIE-0023,1,NULL
DIE-0024,1,NULL
DIE-0025,1,NULL
DIE-0026,1,(dato anonimizado)
DIE-0027,1,NULL
DIE-0028,1,(dato anonimizado)
DIE-0029,1,NULL
DIE-0111,1,NULL
DIE-0030,1,NULL
DIE-0087,1,NULL
DIE-0088,1,NULL
DIE-0091,1,NULL
DIE-0095,1,NULL
DIE-0105,1,NULL
DIE-0096,1,NULL
DIE-0106,1,NULL
DIE-0097,1,NULL
DIE-0098,1,NULL
DIE-0107,1,NULL
DIE-0100,1,NULL
DIE-0031,1,NULL
DIE-0032,1,NULL
DIE-0033,1,NULL
DIE-0034,1,NULL
DIE-0035,1,NULL
DIE-0036,1,NULL
DIE-0037,1,NULL
DIE-0038,1,NULL
DIE-0039,1,NULL
DIE-0040,1,NULL
DIE-0041,1,NULL
DIE-0042,1,NULL
DIE-0043,1,NULL
DIE-0044,1,NULL
DIE-0045,1,NULL
DIE-0046,1,NULL
DIE-0047,1,NULL
DIE-0048,1,NULL
DIE-0082,1,NULL
DIE-0082,2,NULL
DIE-0049,1,NULL
DIE-0050,1,NULL
DIE-0051,1,NULL
DIE-0052,1,NULL
DIE-0053,1,NULL
DIE-0054,1,NULL
DIE-0055,1,NULL
DIE-0056,1,(dato anonimizado)
DIE-0057,1,(dato anonimizado)
DIE-0058,1,(dato anonimizado)
DIE-0059,1,NULL
DIE-0101,1,NULL
DIE-0086,1,NULL
DIE-0089,1,NULL
DIE-0092,1,NULL
DIE-0102,1,NULL
DIE-0093,1,NULL
DIE-0103,1,NULL
DIE-0104,1,NULL
DIE-0094,1,NULL
DIE-0108,1,NULL
DIE-0099,1,NULL
DIE-0109,1,NULL
DIE-0060,1,NULL
DIE-0110,1,NULL
DIE-0061,1,NULL
DIE-0062,1,NULL
DIE-0063,1,NULL
DIE-0064,1,NULL
DIE-0065,1,NULL
DIE-0066,1,NULL
DIE-0067,1,NULL
DIE-0068,1,NULL
DIE-0069,1,NULL
DIE-0070,1,NULL
DIE-0071,1,NULL
DIE-0072,1,NULL
DIE-0073,1,NULL
DIE-0074,1,NULL
DIE-0075,1,NULL
DIE-0076,1,NULL
DIE-0077,1,NULL
DIE-0077,2,NULL
DIE-0078,1,NULL
DIE-0079,1,NULL
DIE-0083,1,NULL
DIE-0080,1,NULL
DIE-0084,1,NULL
DIE-0084,2,NULL
DIE-0081,1,NULL
DIE-0085,1,NULL
DIE-0085,2,NULL
DIE-0112,1,NULL
DIE-0113,1,NULL
DIE-0114,1,NULL
DIE-0115,1,NULL
DIE-0116,1,NULL
DIE-0117,2,NULL
