op,subop,long_tochos__cm,cant_tochos,cant_tochosporcorte,posicion_sierracorte,id_proveedor_aluminio
7,1,64.4,4,1,0,1
7,2,43.2,9,1,0,1
7,3,65.8,15,1,0,1
7,4,50.3,22,1,0,1
7,5,61.1,6,1,0,1
7,6,55.2,18,1,0,1
7,7,60.4,10,1,0,1
7,8,50.7,20,1,0,1
7,9,54.6,11,1,0,1
7,10,60.1,19,1,0,1
8,1,64.4,7,1,0,1
8,2,43.2,15,1,0,1
8,3,54.6,8,1,0,1
9,1,49.9,13,1,0,1
9,2,65.1,10,1,0,1
9,3,50.7,13,1,0,1
9,4,43.6,15,1,0,1
9,5,65.8,10,1,0,1
9,6,55.2,12,1,0,1
11,1,54.1,13,1,0,2
11,2,40.3,18,1,0,2
11,3,53.4,12,1,0,2
11,4,59.8,18,1,0,2
11,5,65.8,16,1,0,2
11,6,55.2,19,1,0,2
11,7,60.9,17,1,0,2
12,1,54.1,13,1,0,2
12,2,40.3,18,1,0,2
12,3,53.4,12,1,0,2
12,4,59.8,18,1,0,2
12,5,65.8,16,1,0,2
12,6,55.2,19,1,0,2
12,7,60.9,17,1,0,2
13,1,49.4,26,1,0,2
13,2,63.9,21,1,0,2
13,3,49.8,28,1,0,2
13,4,59.1,6,1,0,2
13,5,55.9,8,1,0,2
14,1,53.3,5,1,0,2
15,1,48.6,21,1,0,2
15,2,63.9,13,1,0,2
15,3,49.8,20,1,0,2
15,4,42.7,12,1,0,2
15,5,63.5,16,1,0,2
15,6,59.7,17,1,0,2
15,7,56.6,18,1,0,2
15,8,59.1,15,1,0,2
15,9,55.9,8,1,0,2
16,1,51.0,4,1,0,2
16,2,51.0,15,1,0,2
16,3,51.6,17,1,0,2
17,1,58.9,11,1,0,2
17,2,64.4,19,1,0,2
17,3,42.9,9,1,0,2
17,4,57.4,19,1,0,2
18,1,50.1,21,1,0,2
18,2,65.0,16,1,0,2
18,3,56.9,37,1,0,2
18,4,38.0,23,1,0,2
19,1,48.2,18,1,0,2
19,2,63.1,3,1,0,2
21,1,59.3,3,1,0,2
21,2,41.0,15,1,0,2
21,3,31.3,3,1,0,2
21,4,52.7,18,1,0,2
21,5,43.0,18,1,0,2
22,1,44.9,22,1,0,2
23,1,52.1,32,1,0,2
23,2,51.5,27,1,0,2
23,3,51.5,9,1,0,2
24,1,64.8,31,1,0,2
24,2,58.3,26,1,0,2
24,3,63.8,32,1,0,2
24,4,59.7,27,1,0,2
25,1,42.4,20,1,0,2
25,2,58.5,16,1,0,2
25,3,58.2,20,1,0,2
26,1,52.6,13,1,0,2
27,1,45.0,15,1,0,2
27,2,44.9,17,1,0,2
27,3,51.6,25,1,0,2
27,4,39.2,16,1,0,2
28,1,63.2,15,1,0,1
28,2,38.5,15,1,0,1
29,1,57.3,27,1,0,1
29,2,43.7,21,1,0,1
29,3,48.5,42,1,0,1
30,1,38.6,24,1,0,1
30,2,44.9,6,1,0,1
31,1,55.0,37,1,0,1
31,2,63.9,12,1,0,1
32,1,49.6,15,1,0,1
33,1,51.0,35,1,0,1
33,2,31.0,42,1,0,1
34,1,42.0,31,1,0,2
34,2,30.6,10,1,0,2
34,3,51.2,18,1,0,2
34,4,38.0,20,1,0,2
34,5,52.8,19,1,0,2
34,6,51.8,35,1,0,2
34,7,55.8,9,1,0,2
34,8,44.0,21,1,0,2
35,1,63.1,33,1,0,2
35,2,35.3,24,1,0,2
36,1,52.5,60,1,0,2
36,2,52.8,40,1,0,2
37,1,47.9,22,1,0,2
37,2,48.4,22,1,0,2
38,1,54.5,18,1,0,2
38,2,56.0,17,1,0,2
38,3,42.3,20,1,0,2
39,1,53.4,2,1,0,2
39,2,43.3,2,1,0,2
39,3,54.2,2,1,0,2
39,4,49.0,2,1,0,2
39,5,50.1,2,1,0,2
39,6,35.1,2,1,0,2
40,1,52.9,40,1,0,2
40,2,39.6,60,1,0,2
40,3,38.3,44,1,0,2
41,1,45.7,10,1,0,2
41,2,42.0,24,1,0,2
41,3,52.9,15,1,0,2
41,4,42.4,22,1,0,2
42,1,47.0,22,1,0,2
43,1,51.8,61,1,0,2
44,1,42.1,50,1,0,2
44,2,57.4,37,1,0,2
44,3,55.0,38,1,0,2
45,1,40.9,51,1,0,2
45,2,42.2,21,1,0,2
45,3,57.6,17,1,0,2
45,4,39.8,37,1,0,2
46,1,44.2,24,1,0,2
46,2,51.2,21,1,0,2
46,3,36.2,58,1,0,2
46,4,53.5,39,1,0,2
46,5,55.5,75,1,0,2
47,1,44.6,46,1,0,3
48,1,55.4,19,1,0,3
48,2,45.1,12,1,0,3
48,4,43.5,8,1,0,3
48,5,47.1,22,1,0,3
49,1,35.3,21,1,0,3
49,2,35.3,30,1,0,3
49,3,44.3,24,1,0,3
49,4,44.3,61,1,0,3
49,5,57.2,11,1,0,3
49,6,41.4,25,1,0,3
49,7,43.7,57,1,0,3
49,8,46.4,45,1,0,3
50,1,53.5,77,1,0,3
50,2,58.3,27,1,0,3
50,3,55.2,38,1,0,3
50,4,49.9,21,1,0,3
50,5,56.2,20,1,0,3
50,6,51.3,18,1,0,3
51,1,44.5,2,1,0,3
51,2,37.5,2,1,0,3
51,3,46.1,2,1,0,3
51,4,46.0,2,1,0,3
52,1,41.5,6,1,0,3
53,1,57.7,36,1,0,3
54,1,37.1,56,1,0,3
54,2,44.4,139,1,0,3
54,3,43.1,20,1,0,3
54,4,43.1,48,1,0,3
54,5,54.2,76,1,0,3
54,6,58.5,70,1,0,3
54,7,37.6,82,1,0,3
55,1,38.2,6,1,0,3
55,2,41.2,6,1,0,3
55,3,46.1,4,1,0,3
56,1,44.4,7,1,0,3
57,1,48.7,2,1,0,3
57,2,63.7,2,1,0,3
57,3,46.1,2,1,0,3
57,4,43.9,2,1,0,3
57,5,34.2,2,1,0,3
57,6,34.9,2,1,0,3
57,7,44.7,2,1,0,3
58,1,49.6,19,1,0,2
59,1,40.3,52,1,0,2
59,2,46.2,45,1,0,2
59,3,36.8,57,1,0,2
59,4,44.3,53,1,0,2
60,1,48.9,43,1,0,2
60,2,48.5,43,1,0,2
60,3,35.5,59,1,0,2
61,1,38.8,25,1,0,2
61,2,42.4,23,1,0,2
61,3,49.7,19,1,0,2
61,4,53.4,18,1,0,2
61,5,58.5,16,1,0,2
62,1,53.2,40,1,0,2
62,2,35.5,59,1,0,2
62,3,40.0,42,1,0,2
62,4,52.0,41,1,0,2
