nro_op,nro_subop,cod_matriz,nro_serie_matriz
7,1,DIE-0030,1
7,2,DIE-0031,1
7,3,DIE-0060,1
7,4,DIE-0035,1
7,5,DIE-0063,1
7,6,DIE-0064,1
7,7,DIE-0065,1
7,8,DIE-0041,1
7,9,DIE-0042,1
7,10,DIE-0070,1
8,1,DIE-0042,1
8,2,DIE-0031,1
8,3,DIE-0032,1
9,1,DIE-0035,1
9,2,DIE-0042,1
9,3,DIE-0041,1
9,4,DIE-0031,1
9,5,DIE-0060,1
9,6,DIE-0064,1
11,1,DIE-0071,1
11,2,DIE-0034,1
11,3,DIE-0062,1
11,4,DIE-0041,1
11,5,DIE-0060,1
11,6,DIE-0064,1
11,7,DIE-0070,1
12,1,DIE-0071,1
12,2,DIE-0034,1
12,3,DIE-0062,1
12,4,DIE-0041,1
12,5,DIE-0060,1
12,6,DIE-0064,1
12,7,DIE-0070,1
13,1,DIE-0035,1
13,2,DIE-0042,1
13,3,DIE-0041,1
13,4,DIE-0063,1
13,5,DIE-0032,1
14,1,DIE-0050,1
15,1,DIE-0035,1
15,2,DIE-0042,1
15,3,DIE-0041,1
15,4,DIE-0031,1
15,5,DIE-0060,1
15,6,DIE-0064,1
15,7,DIE-0070,1
15,8,DIE-0063,1
15,9,DIE-0032,1
16,1,DIE-0080,1
16,2,DIE-0080,1
16,3,DIE-0048,1
17,1,DIE-0071,1
17,2,DIE-0060,1
17,3,DIE-0064,1
17,4,DIE-0070,1
18,1,DIE-0035,1
18,2,DIE-0042,1
18,3,DIE-0032,1
18,4,DIE-0040,1
19,1,DIE-0018,1
19,2,DIE-0071,1
21,1,DIE-0001,1
21,2,DIE-0002,1
21,3,DIE-0008,1
21,4,DIE-0006,1
21,5,DIE-0010,1
22,1,DIE-0029,1
23,1,DIE-0048,1
23,2,DIE-0080,1
23,3,DIE-0080,1
24,1,DIE-0064,1
24,2,DIE-0070,1
24,3,DIE-0060,1
24,4,DIE-0063,1
25,1,DIE-0007,1
25,2,DIE-0005,1
25,3,DIE-0077,1
26,1,DIE-0078,1
27,1,DIE-0009,2
27,2,DIE-0029,1
27,3,DIE-0073,1
27,4,DIE-0004,1
28,1,DIE-0081,1
28,2,DIE-0003,1
29,1,DIE-0070,1
29,2,DIE-0031,1
29,3,DIE-0041,1
30,1,DIE-0047,1
30,2,DIE-0078,1
31,1,DIE-0032,1
31,2,DIE-0073,1
32,1,DIE-0073,1
33,1,DIE-0006,1
33,2,DIE-0008,1
34,1,DIE-0029,1
34,2,DIE-0051,1
34,3,DIE-0061,1
34,4,DIE-0003,NULL
34,5,DIE-0002,NULL
34,6,DIE-0006,NULL
34,7,DIE-0009,NULL
34,8,DIE-0010,NULL
35,1,DIE-0072,1
35,2,DIE-0069,1
36,1,DIE-0081,1
36,2,DIE-0080,1
37,1,DIE-0018,1
37,2,DIE-0022,1
38,1,DIE-0074,1
38,2,DIE-0075,1
38,3,DIE-0076,1
39,1,DIE-0037,1
39,2,DIE-0043,1
39,3,DIE-0044,1
39,4,DIE-0049,1
39,5,DIE-0045,1
39,6,DIE-0079,1
40,1,DIE-0002,2
40,2,DIE-0003,1
40,3,DIE-0003,2
41,1,DIE-0009,1
41,2,DIE-0079,1
41,3,DIE-0038,1
41,4,DIE-0036,1
42,1,DIE-0080,1
43,1,DIE-0048,1
44,1,DIE-0079,1
44,2,DIE-0081,1
44,3,DIE-0080,1
45,1,DIE-0077,1
45,2,DIE-0007,1
45,3,DIE-0005,1
45,4,DIE-0004,1
46,1,DIE-0006,1
46,2,DIE-0006,1
46,3,DIE-0072,1
46,4,DIE-0074,1
46,5,DIE-0072,1
47,1,DIE-0072,1
48,1,DIE-0080,1
48,2,DIE-0048,1
48,4,DIE-0050,1
48,5,DIE-0018,1
49,1,DIE-0009,1
49,2,DIE-0009,2
49,3,DIE-0010,2
49,4,DIE-0010,1
49,5,DIE-0005,2
49,6,DIE-0003,1
49,7,DIE-0077,2
49,8,DIE-0029,1
50,1,DIE-0079,1
50,2,DIE-0080,1
50,3,DIE-0064,1
50,4,DIE-0037,1
50,5,DIE-0043,1
50,6,DIE-0044,1
51,1,DIE-0055,1
51,2,DIE-0046,1
51,3,DIE-0021,1
51,4,DIE-0025,1
52,1,DIE-0055,1
53,1,DIE-0005,1
54,1,DIE-0076,1
54,2,DIE-0079,1
54,3,DIE-0080,1
54,4,DIE-0080,1
54,5,DIE-0074,1
54,6,DIE-0072,1
54,7,DIE-0077,2
55,1,DIE-0023,1
55,2,DIE-0055,1
55,3,DIE-0025,1
56,1,DIE-0051,1
57,1,DIE-0001,1
57,2,DIE-0028,1
57,3,DIE-0026,1
57,4,DIE-0059,1
57,5,DIE-0056,1
57,6,DIE-0058,1
57,7,DIE-0057,1
58,1,DIE-0049,1
59,1,DIE-0004,1
59,2,DIE-0006,2
59,3,DIE-0076,1
59,4,DIE-0077,2
60,1,DIE-0001,1
60,2,DIE-0005,1
60,3,DIE-0007,1
61,1,DIE-0014,1
61,2,DIE-0016,1
61,3,DIE-0013,1
61,4,DIE-0052,1
61,5,DIE-0015,1
62,1,DIE-0038,1
62,2,DIE-0069,1
62,3,DIE-0040,1
62,4,DIE-0061,1
62,5,DIE-0036,1
62,6,DIE-0066,1
63,1,DIE-0026,1
63,2,DIE-0027,1
63,3,DIE-0028,1
64,1,DIE-0046,1
64,2,DIE-0051,1
65,1,DIE-0072,1
66,1,DIE-0046,1
67,1,DIE-0075,1
67,2,DIE-0047,1
68,1,DIE-0003,2
69,1,DIE-0010,2
69,2,DIE-0041,1
69,3,DIE-0031,1
69,4,DIE-0070,1
69,5,DIE-0032,1
70,1,DIE-0021,1
71,1,DIE-0009,2
71,2,DIE-0050,1
71,3,DIE-0063,1
