op,subop,long_mesa_objetivo__m,cant_perf_obj,kg_a_extruir
7,1,NULL,120,NULL
7,2,NULL,45,NULL
7,3,NULL,60,NULL
7,4,NULL,66,NULL
7,5,NULL,30,NULL
7,6,NULL,90,NULL
7,7,NULL,50,NULL
7,8,NULL,100,NULL
7,9,NULL,55,NULL
7,10,NULL,76,NULL
8,1,NULL,35,NULL
8,2,NULL,75,NULL
8,3,NULL,240,NULL
9,1,NULL,39,NULL
9,2,NULL,50,NULL
9,3,NULL,65,NULL
9,4,NULL,75,NULL
9,5,NULL,40,NULL
9,6,NULL,60,NULL
11,1,NULL,52,NULL
11,2,NULL,360,NULL
11,3,NULL,48,NULL
11,4,NULL,54,NULL
11,5,NULL,64,NULL
11,6,NULL,95,NULL
11,7,NULL,51,NULL
12,1,NULL,NULL,NULL
12,2,NULL,NULL,NULL
12,3,NULL,NULL,NULL
12,4,NULL,NULL,NULL
12,5,NULL,NULL,NULL
12,6,NULL,NULL,NULL
12,7,NULL,NULL,NULL
13,1,NULL,78,NULL
13,2,NULL,105,NULL
13,3,NULL,140,NULL
13,4,NULL,30,NULL
13,5,NULL,240,NULL
14,1,NULL,45,NULL
15,1,19.6,63,652.738
15,2,31.6,65,524.09
15,3,31.6,100,653.091
15,4,31.6,60,336.218
15,5,25.6,64,666.61
15,6,31.6,85,665.463
15,7,19.6,54,648.996
15,8,31.6,75,561.489
15,9,31.6,240,128.305
16,1,13.8,12,66.094
16,2,13.8,30,247.852
16,3,19.8,51,293.44
17,1,19.8,44,210.22
17,2,25.8,76,333.976
17,3,25.8,36,125.306
17,4,19.8,57,353.93
18,1,20,63,341.105
18,2,32,80,337.111
18,3,32,1110,683.016
18,4,32,460,283.705
19,1,36,36,279.648
19,2,12,12,61.018
21,1,32,60,56.981
21,2,26,180,196.872
21,3,26,96,30.011
21,4,32,180,303.47
21,5,32,90,247.77
22,1,8,22,315.941
23,1,20,96,533.954
23,2,14,81,445.439
23,3,14,18,148.48
24,1,38,186,648.508
24,2,20,78,489.116
24,3,26,128,658.757
24,4,32,135,520.461
25,1,32,400,271.459
25,2,32,320,299.8
25,3,38,120,372.669
26,1,34,104,220.005
27,1,26,180,217.199
27,2,8,22,245.422
27,3,26,100,414.884
27,4,32,320,201.5
28,1,32,75,310.745
28,2,32,75,189.101
29,1,19.95,81,506.954
29,2,32,105,300.594
29,3,32,210,667.516
30,1,32,360,303.495
30,2,30.8711048951,24,88.323
31,1,31,1110,666.815
31,2,26,48,251.317
32,1,20,45,243.921
33,1,32,350,584.647
33,2,26,1344,426.629
34,1,7.5,30,418.425
34,2,26,40,98.329
34,3,26,72,296.532
34,4,32,100,244.195
34,5,32,285,322.408
34,6,32,350,582.705
34,7,32,135,161.363
34,8,32,105,296.74
35,1,32,165,669.131
35,2,32,120,272.547
36,1,20.1,180,1011.768
36,2,14,120,679.287
37,1,14,88,337.837
37,2,29,396,341.74
38,1,26,72,314.61
38,2,32,340,305.499
38,3,38,120,271.325
39,1,14,4,34.279
39,2,14,4,27.781
39,3,20,6,34.789
39,4,14,4,31.441
39,5,20,6,32.121
39,6,20,6,22.491
40,1,32,600,678.7
40,2,32,300,761.957
40,3,32,220,539.988
41,1,26,120,146.873
41,2,26,96,323.631
41,3,32,150,254.843
41,4,32,110,299.587
42,1,12,44,332.277
43,1,19.8,183,1013.822
44,1,26.2,200,675.992
44,2,26,148,682.01
44,3,14,114,671.552
45,1,26,204,668.547
45,2,32,420,284.585
45,3,32,340,314.273
45,4,32,740,472.797
46,1,26,384,339.996
46,2,32,210,345.113
46,3,32,290,673.431
46,4,26,156,668.807
46,5,26,300,1335.585
47,1,20,138,671.905
48,1,14.5,38,342.924
48,2,17.2,48,176.586
48,4,38,96,113.481
48,5,14,88,337.661
49,1,20,189,240.523
49,2,20.55,270,343.884
49,3,32,120,345.437
49,4,32,305,877.987
49,5,32,220,204.337
49,6,32,125,336.356
49,7,32,285,809.466
49,8,8,45,677.466
50,1,32.5,385,1337.591
50,2,14.4,81,510.952
50,3,32,190,681.245
50,4,14,42,340.296
50,5,20,60,365.119
50,6,20,54,299.797
51,1,26,8,28.882
51,2,26,24,24.371
51,3,26,32,29.954
51,4,26,24,29.885
52,1,26,24,81.011
53,1,32,720,674.885
54,1,32,280,676.576
54,2,26.5,556,2009.558
54,3,10.5,40,280.268
54,4,10.5,96,672.644
54,5,26,304,1340.113
54,6,26,280,1333.845
54,7,26,328,1003.717
55,1,26.3,24,74.52
55,2,26,24,80.413
55,3,26,48,60.032
56,1,38,42,101.135
57,1,14,4,31.702
57,2,14,4,41.45
57,3,8,2,30.006
57,4,26,24,28.573
57,5,20,12,22.275
57,6,32,10,22.712
57,7,20,6,29.077
58,1,14.6,38,303.036
59,1,32,1040,677.286
59,2,32,450,672.544
59,3,32,285,678.642
59,4,32,265,759.96
60,1,26.5,688,675.059
60,2,26.5,688,668.979
60,3,26.5,944,671.821
61,1,32,125,311.647
61,2,32,345,313.711
61,3,32,95,303.35
61,4,14,36,309.244
61,5,20,96,300.952
62,1,32,400,682.968
62,2,32,295,671.841
62,3,32,840,539.21
62,4,26,164,683.377
62,5,32,245,677.181
62,6,26,80,273.359
63,1,7.5401503759,14,196.377
63,2,12.6143396226,14,196.377
63,3,9.5508571429,14,196.377
64,1,26,36,34.857
64,2,27,320,671.433
65,1,20,300,1533.891
66,1,26,348,335.439
67,1,20,672,673.831
67,2,32,810,677.701
68,1,32,250,676.646
69,1,32,185,537.04
69,2,26,204,673.921
69,3,32,230,674.544
69,4,14,126,875.892
69,5,20,900,660.573
70,1,32,380,334.978
71,1,26,840,1013.595
71,2,26,120,148.747
71,3,26,152,609.387
71,4,26,40,146.753
72,1,14,76,672.718
72,2,6.65,27,536.145
72,3,8.2,14,339.651
73,1,32,185,536.646
73,2,32,275,668.64
74,1,26.2,576,677.436
75,1,26,576,402.674
75,2,20,123,679.863
75,3,26,440,811.655
75,4,14,114,805.779
76,1,14,172,1519.255
76,2,8.2,12,288.767
76,3,26,696,812.682
76,4,32,200,524.244
76,5,32,550,939.155
76,6,26,1056,336.159
76,7,32,195,572.728
76,8,26,304,294.227
76,9,20,120,656.905
76,10,20,972,674.309
76,11,32,140,134.225
76,12,26,120,441.821
76,14,26,512,342.396
77,1,14,46,410.178
78,1,26,288,424.116
78,2,25.25,225,256.782
78,3,26,196,677.459
78,4,20,54,349.91
78,5,26,80,333.908
78,6,26,180,805.786
78,7,32,110,271.874
79,1,14.6,38,819.737
79,2,26,480,308.368
79,3,38.2,66,271.043
80,1,32,135,269.067
80,2,38.2,66,273.944
80,3,26,176,337.259
80,4,26.2,48,305.943
80,6,26.45,44,354.221
80,7,26,80,333.909
80,8,26,80,339.553
80,9,32,115,341.51
80,10,26,592,334.949
80,11,26,320,277.712
80,12,38,198,341.466
81,1,32,200,673.141
81,2,18.4,64,372.316
81,3,14,60,531.157
81,4,22,90,90.4
81,5,26,276,405.639
81,6,26,120,146.069
81,7,26,296,540.456
81,9,16.35,42,677.218
81,8,14.6,38,820.709
82,1,32,135,413.188
82,2,32,135,412.889
82,3,26,112,69.68
82,4,26,552,403.151
83,1,26,384,344.507
84,1,26,304,196.944
84,2,26.2,48,252.23
84,3,27,40,110.114
84,4,22,48,50.867
85,1,32,90,180.057
86,1,32,45,53.726
87,1,32,140,174.943
88,1,16.35,42,676.416
88,2,30.2,72,280.135
88,3,30.2,72,250.161
88,4,26.2,64,346.866
88,5,14,50,285.965
88,6,26.2,564,640.561
89,1,26.2,64,343.45
89,2,26,72,268.73
89,3,26,40,134.729
89,4,20,54,239.703
89,5,14,30,204.404
89,6,32,75,213.735
89,7,26,44,218.297
90,1,26.7,90,491.071
90,2,32,80,260.3
90,3,32,80,262.786
91,1,27,40,140.818
91,2,26,960,597.26
91,3,32,30,77.104
92,1,26,160,143.544
92,2,23.2,30,133.597
92,3,26,40,147.346
92,4,26,44,174.898
92,5,26,144,242.734
92,6,32,230,671.79
92,7,26,624,502.721
93,1,26,232,809.185
93,2,20,225,273.099
94,1,26,40,216.399
94,2,20,48,246.361
94,3,26,120,208.648
94,4,20,54,277.805
94,5,26,336,206.463
95,1,26,136,276.215
95,2,16.45,64,1069.809
95,3,32,70,207.679
96,1,20,405,471.915
96,2,32,230,669.748
96,3,32,430,734.867
96,4,32,250,680.268
96,5,32,225,676.95
96,6,20,111,803.976
96,10,32,180,312.309
96,7,32,60,175.825
96,8,14,50,409.789
96,9,32,115,301.092
