op,subop,cod_perfil,long_perfil__m,cant_perfil_min,estado
7,1,PROFILE-0104,6,NULL,1
7,2,PROFILE-0116,6,NULL,1
7,3,PROFILE-0157,6,NULL,1
7,4,PROFILE-0120,6,NULL,1
7,5,PROFILE-0161,6,NULL,2
7,6,PROFILE-0162,6,NULL,0
7,7,PROFILE-0163,6,NULL,2
7,8,PROFILE-0124,6,NULL,1
7,9,PROFILE-0125,5,NULL,1
7,10,PROFILE-0169,4.5,NULL,1
8,1,PROFILE-0125,6,NULL,1
8,2,PROFILE-0116,6,NULL,1
8,3,PROFILE-0117,6,NULL,1
9,1,PROFILE-0120,6,NULL,1
9,2,PROFILE-0125,6,NULL,1
9,3,PROFILE-0124,6,NULL,1
9,4,PROFILE-0116,6,NULL,0
9,5,PROFILE-0157,6,NULL,1
9,6,PROFILE-0162,6,NULL,1
11,1,PROFILE-0170,4.5,52,1
11,2,PROFILE-0119,6,360,1
11,3,PROFILE-0160,6,48,1
11,4,PROFILE-0124,6,54,-1
11,5,PROFILE-0157,6,64,-1
11,6,PROFILE-0162,6,95,-1
11,7,PROFILE-0169,6,51,-1
12,1,PROFILE-0170,4.5,NULL,-1
12,2,PROFILE-0119,6,NULL,-1
12,3,PROFILE-0160,6,NULL,-1
12,4,PROFILE-0124,6,NULL,-1
12,5,PROFILE-0157,6,NULL,-1
12,6,PROFILE-0162,6,NULL,-1
12,7,PROFILE-0169,6,NULL,-1
13,1,PROFILE-0120,6,NULL,1
13,2,PROFILE-0125,6,NULL,1
13,3,PROFILE-0124,6,NULL,1
13,4,PROFILE-0161,6,NULL,1
13,5,PROFILE-0117,6,NULL,1
14,1,PROFILE-0132,6,NULL,1
15,1,PROFILE-0120,6,NULL,1
15,2,PROFILE-0125,6,NULL,1
15,3,PROFILE-0124,6,NULL,1
15,4,PROFILE-0116,6,NULL,0
15,5,PROFILE-0157,6,NULL,1
15,6,PROFILE-0162,6,NULL,1
15,7,PROFILE-0169,6,NULL,0
15,8,PROFILE-0161,6,NULL,1
15,9,PROFILE-0117,6,NULL,1
16,1,PROFILE-0185,4,NULL,1
16,2,PROFILE-0185,6,NULL,2
16,3,PROFILE-0127,6,NULL,1
17,1,PROFILE-0170,4.5,NULL,1
17,2,PROFILE-0157,6,NULL,1
17,3,PROFILE-0162,6,NULL,0
17,4,PROFILE-0169,6,NULL,0
18,1,PROFILE-0120,6,NULL,1
18,2,PROFILE-0125,6,NULL,1
18,3,PROFILE-0117,6,NULL,0
18,4,PROFILE-0123,6,NULL,1
19,1,PROFILE-0091,6,NULL,2
19,2,PROFILE-0170,4.5,NULL,2
21,1,PROFILE-0074,6,NULL,1
21,2,PROFILE-0075,6,NULL,0
21,3,PROFILE-0081,6,NULL,1
21,4,PROFILE-0079,6,NULL,1
21,5,PROFILE-0083,6,NULL,1
22,1,PROFILE-0103,6,NULL,1
23,1,PROFILE-0127,6,NULL,1
23,2,PROFILE-0185,4,NULL,0
23,3,PROFILE-0185,6,NULL,0
24,1,PROFILE-0162,6,NULL,1
24,2,PROFILE-0169,6,NULL,1
24,3,PROFILE-0157,6,NULL,4
24,4,PROFILE-0161,6,NULL,1
25,1,PROFILE-0080,6,NULL,1
25,2,PROFILE-0078,6,NULL,0
25,3,PROFILE-0181,6,NULL,1
26,1,PROFILE-0182,4,NULL,1
27,1,PROFILE-0082,6,NULL,0
27,2,PROFILE-0103,6,NULL,0
27,3,PROFILE-0176,6,NULL,0
27,4,PROFILE-0077,6,NULL,0
28,1,PROFILE-0187,6,NULL,0
28,2,PROFILE-0076,6,NULL,0
29,1,PROFILE-0169,6,NULL,0
29,2,PROFILE-0116,6,NULL,0
29,3,PROFILE-0124,6,NULL,0
30,1,PROFILE-0126,6,NULL,0
30,2,PROFILE-0182,6,NULL,0
31,1,PROFILE-0117,6,NULL,0
31,2,PROFILE-0176,6,NULL,0
32,1,PROFILE-0176,6,NULL,0
33,1,PROFILE-0079,6,NULL,0
33,2,PROFILE-0081,6,NULL,0
34,1,PROFILE-0103,6,NULL,0
34,2,PROFILE-0133,6,NULL,0
34,3,PROFILE-0159,6,NULL,0
34,4,PROFILE-0076,6,NULL,0
34,5,PROFILE-0075,6,NULL,0
34,6,PROFILE-0079,6,NULL,0
34,7,PROFILE-0082,6,NULL,0
34,8,PROFILE-0083,6,NULL,0
35,1,PROFILE-0175,6,NULL,0
35,2,PROFILE-0168,6,NULL,0
36,1,PROFILE-0187,6,0,0
36,2,PROFILE-0185,4,0,0
37,1,PROFILE-0091,3,40,0
37,2,PROFILE-0098,3,80,0
38,1,PROFILE-0177,6,0,0
38,2,PROFILE-0179,6,0,0
38,3,PROFILE-0180,6,0,0
39,1,PROFILE-0165,6,0,0
39,2,PROFILE-0171,6,0,0
39,3,PROFILE-0172,6,0,0
39,4,PROFILE-0066,6,0,0
39,5,PROFILE-0173,6,0,0
39,6,PROFILE-0183,6,0,0
40,1,PROFILE-0075,6,500,0
40,2,PROFILE-0076,6,300,0
40,3,PROFILE-0076,6,200,0
41,1,PROFILE-0082,6,20,0
41,2,PROFILE-0183,6,500,0
41,3,PROFILE-0121,6,30,0
41,4,PROFILE-0064,6,10,0
42,1,PROFILE-0185,5,40,0
43,1,PROFILE-0127,6,25,0
44,1,PROFILE-0183,6,0,0
44,2,PROFILE-0187,6,16,0
44,3,PROFILE-0185,4,163,0
45,1,PROFILE-0181,6,384,0
45,2,PROFILE-0080,6,250,0
45,3,PROFILE-0078,6,285,0
45,4,PROFILE-0077,6,529,0
46,1,PROFILE-0074,6,64,0
46,2,PROFILE-0079,6,111,0
46,3,PROFILE-0180,6,550,0
46,4,PROFILE-0177,6,550,0
46,5,PROFILE-0175,6,458,-1
47,1,PROFILE-0175,6,458,0
48,1,PROFILE-0185,6,21,0
48,2,PROFILE-0127,3.8,36,0
48,4,PROFILE-0132,6,62,0
48,5,PROFILE-0091,3,45,0
49,1,PROFILE-0082,6,214,0
49,2,PROFILE-0082,6,214,0
49,3,PROFILE-0083,6,100,0
49,4,PROFILE-0083,6,274,0
49,5,PROFILE-0078,6,25,0
49,6,PROFILE-0076,6,20,0
49,7,PROFILE-0181,6,284,0
49,8,PROFILE-0103,6,20,0
50,1,PROFILE-0183,6,200,0
50,2,PROFILE-0185,3.8,52,0
50,3,PROFILE-0162,6,120,0
50,4,PROFILE-0165,6,40,0
50,5,PROFILE-0171,6,40,0
50,6,PROFILE-0172,6,40,0
