nro_op,nro_subop,nro_pedido,nro_subpedido
7,1,1,6
7,1,12,2
7,1,13,2
7,2,1,13
7,3,1,5
7,4,1,8
7,6,1,3
8,2,2,4
9,1,1,8
9,4,6,4
9,5,2,5
9,6,6,6
11,5,6,5
11,6,6,6
12,5,6,5
12,6,6,6
13,1,6,1
15,1,6,1
15,4,6,4
15,5,6,5
15,6,6,6
17,2,6,5
17,3,6,6
18,1,2,1
18,1,6,1
18,2,2,2
19,1,15,1
19,1,16,1
19,1,17,1
19,2,1,2
21,1,10,2
21,2,10,12
21,3,10,10
21,4,5,3
21,4,10,9
21,5,5,6
21,5,10,7
22,1,18,1
23,1,11,3
23,2,11,2
23,3,11,1
24,1,6,6
24,2,6,7
24,3,6,5
24,4,6,8
25,1,10,5
25,2,10,6
25,3,14,9
26,1,11,4
27,2,18,1
27,3,10,3
27,3,10,15
29,1,6,7
29,2,6,4
29,3,6,3
30,1,24,2
30,2,23,1
31,1,6,9
31,2,10,15
32,1,10,15
33,1,27,3
33,2,28,4
34,1,38,1
34,2,40,1
34,3,37,1
34,4,27,1
34,5,27,2
34,6,27,3
34,7,27,4
34,8,27,5
35,1,30,1
35,2,33,2
35,2,34,2
37,1,46,5
37,2,46,6
41,1,28,2
41,2,46,4
41,3,50,1
41,4,50,4
42,1,51,1
43,1,51,3
44,1,51,5
44,2,51,4
44,3,51,2
45,1,55,14
45,1,56,8
45,1,57,14
45,1,58,14
45,2,55,6
45,2,57,6
45,2,58,6
45,3,55,7
45,3,57,7
45,3,58,7
45,4,55,8
45,4,57,8
45,4,58,8
46,1,55,9
46,1,57,9
46,1,58,9
46,2,55,3
46,2,56,1
46,2,57,3
46,2,58,3
46,3,55,11
46,3,56,5
46,3,57,11
46,3,58,11
46,3,59,3
46,4,55,12
46,4,56,6
46,4,57,12
46,4,58,12
46,4,59,4
46,5,55,13
46,5,56,7
46,5,57,13
46,5,58,13
46,5,59,5
47,1,55,13
47,1,56,7
47,1,57,13
47,1,58,13
47,1,59,5
48,1,51,12
48,2,51,10
48,4,61,1
48,5,46,5
49,1,55,4
49,1,56,2
49,1,57,4
49,1,58,4
49,1,59,1
49,2,55,4
49,2,56,2
49,2,57,4
49,2,58,4
49,2,59,1
49,3,55,5
49,3,56,3
49,3,57,5
49,3,58,5
49,4,55,5
49,4,56,3
49,4,57,5
49,4,58,5
49,5,55,7
49,5,57,7
49,5,58,7
49,6,55,1
49,6,57,1
49,6,58,1
49,7,55,14
49,7,56,8
49,7,57,14
49,7,58,14
49,8,64,1
50,1,51,5
50,2,51,2
50,3,62,6
50,4,62,1
50,5,62,2
50,6,62,3
52,1,67,1
53,1,58,7
54,1,57,11
54,1,58,11
54,1,59,3
54,2,46,4
54,2,51,5
54,3,51,2
54,4,11,2
54,4,46,2
54,5,55,12
54,5,56,6
54,5,57,12
54,5,58,12
54,5,59,4
54,6,56,7
54,6,57,13
54,6,58,13
54,6,59,5
54,7,56,8
54,7,57,14
54,7,58,14
55,1,73,1
55,2,67,1
55,3,67,2
56,1,74,1
58,1,81,2
59,1,82,1
59,1,82,2
59,1,82,3
59,1,82,4
59,2,82,5
59,3,82,6
59,3,82,7
59,3,82,8
59,3,82,9
59,4,82,10
59,4,82,11
59,4,82,12
60,1,84,1
60,2,84,2
60,2,84,3
60,3,84,4
60,3,84,5
62,1,89,1
62,2,89,2
62,3,89,3
62,4,89,4
62,5,89,5
62,6,89,6
64,2,88,1
65,1,56,7
65,1,94,5
66,1,102,1
67,1,104,1
67,1,104,3
67,2,104,2
68,1,96,1
68,1,101,1
69,1,58,5
69,1,101,4
69,1,101,12
69,2,108,3
69,3,108,4
69,4,108,7
69,5,108,9
70,1,113,1
71,1,55,4
71,1,56,2
71,1,57,4
71,1,59,1
71,1,94,1
71,1,94,8
71,1,96,4
71,1,96,16
71,2,118,1
71,3,108,8
71,4,108,6
72,1,115,3
72,2,115,2
72,3,115,1
73,1,94,9
73,1,96,5
73,1,101,4
73,1,101,12
73,2,94,15
73,2,59,3
74,1,55,4
74,1,57,4
74,1,59,1
74,1,94,1
74,1,94,8
74,1,96,4
74,1,96,16
75,1,82,1
75,1,82,2
75,1,96,7
75,2,108,1
75,3,115,6
75,4,108,7
76,1,115,3
76,1,119,1
76,2,115,1
76,2,115,2
76,3,120,5
76,3,120,14
76,4,120,4
76,4,120,13
76,5,120,3
76,5,120,12
76,6,120,6
76,7,94,9
76,7,96,5
76,7,101,4
76,7,101,12
76,7,120,1
76,7,120,10
76,8,96,8
76,8,120,7
76,8,120,16
76,9,56,7
76,9,59,5
76,9,94,5
76,9,94,17
76,9,96,12
76,9,96,21
76,10,108,9
76,11,108,1
76,12,108,6
76,14,82,1
76,14,96,7
76,14,120,8
77,1,121,1
78,1,115,4
78,1,119,2
78,2,115,5
78,3,121,3
78,4,121,2
78,5,121,4
78,6,56,6
78,6,59,4
78,6,94,16
78,6,96,11
78,7,59,3
78,7,82,8
79,1,115,1
79,2,124,2
79,3,124,3
80,1,128,1
80,1,129,1
80,1,130,1
80,2,128,2
80,2,129,2
80,3,128,3
80,3,129,3
80,3,130,8
80,4,133,2
80,6,133,1
80,7,133,4
80,8,128,4
80,8,129,4
80,9,128,5
80,9,129,5
80,10,128,6
80,10,129,6
80,11,128,7
80,11,129,7
80,11,130,4
80,12,128,8
80,12,129,8
81,1,133,3
81,1,136,1
81,2,135,4
81,3,135,1
81,4,135,5
81,5,135,2
81,6,135,6
81,7,135,3
81,8,115,1
81,9,115,2
82,1,134,6
82,1,132,1
82,2,134,4
82,2,132,3
82,3,134,8
82,3,132,4
82,4,134,16
82,4,132,8
83,1,141,1
84,1,138,1
84,1,138,2
84,2,133,1
84,3,144,1
84,4,144,2
85,1,134,2
86,1,118,1
87,1,128,1
87,1,134,1
87,1,147,3
87,1,149,7
87,1,152,6
88,1,115,2
88,2,148,1
88,3,148,2
88,4,148,3
88,5,108,1
88,6,120,5
88,6,120,14
88,6,127,2
88,6,131,1
89,1,148,5
89,2,148,6
89,3,124,6
89,3,134,13
89,4,108,2
89,5,148,7
89,6,148,4
89,7,138,3
90,1,133,1
90,1,146,1
90,2,124,5
90,3,134,13
90,3,124,6
91,1,149,6
91,2,108,9
91,3,128,10
91,3,129,10
92,1,141,1
92,2,148,1
92,3,128,9
92,4,148,8
92,5,120,12
92,5,127,3
92,6,96,5
92,6,101,12
92,6,120,1
92,6,120,10
92,6,127,5
92,7,153,1
92,7,154,1
93,1,146,4
93,2,120,5
93,2,120,14
93,2,127,2
93,2,131,1
93,2,157,2
93,2,157,16
94,1,148,3
94,2,158,5
94,3,159,2
94,4,159,5
94,5,159,6
95,1,134,2
95,1,132,2
95,1,149,3
95,1,152,3
95,3,115,2
95,2,148,4
96,1,57,4
96,1,59,1
96,1,94,8
96,1,96,4
96,1,120,2
96,1,120,11
96,1,127,4
96,1,157,4
96,1,157,16
96,2,96,5
96,2,101,12
96,2,120,1
96,2,120,10
96,2,127,5
96,2,157,5
96,2,157,17
96,2,157,28
96,2,160,1
96,3,120,13
96,3,127,3
96,3,157,3
96,3,157,15
96,3,157,27
96,3,160,2
96,4,120,4
96,4,120,13
96,4,127,1
96,4,157,1
96,4,157,13
96,4,157,26
96,5,127,14
96,5,131,3
96,5,157,12
96,5,157,25
96,5,157,33
96,6,162,4
96,7,161,2
96,7,161,5
96,7,161,8
96,8,100,1
96,8,161,1
96,8,161,4
96,8,161,7
96,9,100,3
96,9,161,3
96,9,161,6
96,9,161,9
