nro_op,nro_subop,codigo,long__m,cant,id_estado_op
1,1,PROFILE-0116,6,10,0
1,2,PROFILE-0116,6,62,0
1,3,PROFILE-0117,6,75,0
1,4,PROFILE-0117,6,112,0
1,5,PROFILE-0120,6,10,0
1,6,PROFILE-0120,6,27,0
1,7,PROFILE-0161,6,12,0
1,8,PROFILE-0161,6,14,0
1,9,PROFILE-0122,6,11,0
1,10,PROFILE-0168,6,11,0
1,11,PROFILE-0125,6,10,0
1,12,PROFILE-0125,6,18,0
2,1,PROFILE-0117,6,58,0
3,1,PROFILE-0025,6,12,0
3,2,NULL,0,68,-1
3,3,NULL,0,34,0
4,1,PROFILE-0017,6,8,0
5,1,PROFILE-0116,6,51,0
5,2,PROFILE-0117,6,307,0
5,3,PROFILE-0120,6,69,0
5,4,PROFILE-0161,6,89,0
5,5,PROFILE-0125,6,9,0
5,6,PROFILE-0124,6,29,0
5,7,PROFILE-0162,6,97,0
6,1,PROFILE-0025,6,10,0
6,2,PROFILE-0104,6,5,0
6,3,PROFILE-0122,6,2,0
7,1,PROFILE-0119,6,10,0
7,2,PROFILE-0104,6,10,0
7,3,PROFILE-0122,6,4,0
8,1,PROFILE-0157,6,59,0
8,2,PROFILE-0169,6,39,0
9,1,PROFILE-0162,6,163,0
9,2,PROFILE-0161,6,90,0
9,3,PROFILE-0157,6,20,0
9,4,PROFILE-0169,6,44,0
9,5,PROFILE-0120,6,22,0
9,6,PROFILE-0125,6,19,0
9,7,PROFILE-0124,6,177,0
9,8,PROFILE-0116,6,40,0
9,9,PROFILE-0117,6,30,0
10,1,PROFILE-0127,6,3,0
10,2,PROFILE-0182,6,10,0
10,3,PROFILE-0187,6,2,0
10,4,PROFILE-0059,6,1,0
11,1,PROFILE-0120,6,127,0
11,2,PROFILE-0125,6,127,0
11,3,PROFILE-0124,6,273,0
11,4,PROFILE-0116,6,127,0
11,5,PROFILE-0157,6,127,0
11,6,PROFILE-0162,6,273,0
11,7,PROFILE-0169,6,156,0
11,8,PROFILE-0161,6,156,0
11,9,PROFILE-0117,6,2175,0
11,10,PROFILE-0122,6,11,0
11,12,PROFILE-0123,6,3,0
11,13,PROFILE-0175,6,4,0
12,1,PROFILE-0185,6,30,0
12,2,PROFILE-0185,4,90,0
12,3,PROFILE-0127,6,60,0
12,4,PROFILE-0182,6,90,0
13,1,PROFILE-0185,4,36,0
13,2,PROFILE-0127,4,14,0
13,3,PROFILE-0182,4,90,0
14,1,PROFILE-0125,6,127,0
14,2,PROFILE-0124,6,273,0
14,3,PROFILE-0116,6,127,0
14,4,PROFILE-0162,6,273,0
14,5,PROFILE-0169,6,156,0
14,6,PROFILE-0161,6,156,0
14,7,PROFILE-0117,6,2175,0
14,8,PROFILE-0123,6,3,0
15,1,PROFILE-0077,6,30,0
15,2,PROFILE-0074,6,30,0
15,3,PROFILE-0176,6,30,0
15,4,PROFILE-0181,6,30,0
15,5,PROFILE-0080,6,50,0
15,6,PROFILE-0078,6,50,0
15,7,PROFILE-0083,6,30,0
15,8,PROFILE-0082,6,30,0
15,9,PROFILE-0079,6,60,0
15,10,PROFILE-0081,6,60,0
15,11,PROFILE-0076,6,30,0
15,12,PROFILE-0075,6,30,0
15,13,PROFILE-0176,6,30,0
15,14,PROFILE-0181,6,30,0
16,1,PROFILE-0187,6,20,0
17,1,PROFILE-0182,6,20,0
17,2,PROFILE-0044,2.39,2.00,0
17,3,PROFILE-0045,5.90,1.00,0
17,4,PROFILE-0046,5.90,4.00,0
17,5,PROFILE-0042,2.32,2.00,0
18,4,PROFILE-0046,5.9,4,0
18,5,PROFILE-0042,2.32,2,0
19,1,PROFILE-0082,6,50,0
19,2,PROFILE-0181,6,30,0
19,3,PROFILE-0077,6,50,0
19,4,PROFILE-0077,6,50,0
20,1,PROFILE-0126,6,180,0
20,2,PROFILE-0083,6,1,0
20,3,PROFILE-0082,6,1,0
20,4,PROFILE-0086,6,1,0
20,5,PROFILE-0081,6,1,0
20,6,PROFILE-0080,6,2,0
20,7,PROFILE-0077,6,1,0
21,1,PROFILE-0025,6,10,0
22,1,PROFILE-0076,6,38,0
22,2,PROFILE-0075,6,69,0
22,3,PROFILE-0079,6,111,0
22,4,PROFILE-0083,6,37,0
23,1,PROFILE-0083,6,20,0
23,2,PROFILE-0082,6,20,0
23,3,PROFILE-0079,6,20,0
