OPP,SOPP,P,SP
1,5,2,1
1,6,6,1
1,11,2,2
1,12,6,2
1,1,2,4
1,2,6,4
1,7,2,8
1,8,6,8
1,3,2,9
1,4,6,9
1,9,6,10
1,10,6,11
3,1,8,1
3,2,8,2
4,1,9,1
5,3,6,1
5,5,6,2
5,6,6,3
5,1,6,4
5,7,6,6
5,4,6,8
5,2,6,9
6,1,12,1
6,2,12,2
7,1,13,1
7,2,13,2
7,3,13,3
8,1,6,5
8,2,6,7
9,5,6,1
9,6,6,2
9,7,6,3
9,8,6,4
9,3,6,5
9,1,6,6
9,4,6,7
9,2,6,8
9,9,6,9
10,1,19,1
10,2,19,2
10,3,19,3
10,4,19,4
11,1,2,1
11,2,2,2
11,3,2,3
11,4,2,4
11,5,2,5
11,6,2,6
11,7,2,7
11,8,2,8
11,9,2,9
11,10,6,10
11,12,6,12
11,13,6,13
12,1,11,1
12,2,11,2
12,3,11,3
12,4,11,4
13,1,11,2
13,2,11,3
13,3,11,4
14,1,2,2
14,2,2,3
14,3,2,4
14,4,2,6
14,5,2,7
14,6,2,8
14,7,2,9
14,8,6,12
15,1,10,1
15,2,10,2
15,3,10,3
15,4,10,4
15,5,10,5
15,6,10,6
15,7,10,7
15,8,10,8
15,9,10,9
15,10,10,10
15,11,10,11
15,12,10,12
15,13,10,15
15,14,10,16
16,1,22,1
17,1,23,1
17,2,25,2
17,3,25,3
17,4,25,4
17,5,25,5
18,1,14,2
18,2,14,9
18,3,14,11
19,4,20,1
20,2,26,1
20,1,24,2
20,3,26,2
20,5,26,4
20,6,26,5
20,7,26,6
21,1,29,1
22,1,27,1
22,2,27,2
22,3,27,3
22,4,27,5
23,1,28,1
23,2,28,2
23,3,28,3
23,4,28,4
23,5,28,5
23,6,28,6
24,2,33,1
24,1,6,9
25,5,36,1
25,8,37,1
25,2,27,2
25,6,36,2
25,9,37,2
25,1,27,3
25,7,36,3
25,3,27,4
25,4,27,5
26,1,34,1
26,2,34,6
26,3,34,4
26,7,51,4
26,4,34,5
26,6,51,3
27,1,39,1
27,2,39,2
27,3,39,3
27,4,39,4
27,5,39,5
27,6,39,6
27,7,39,7
28,3,35,1
28,4,35,2
28,5,35,3
28,2,28,4
28,6,35,4
28,7,35,5
28,1,28,7
29,1,40,1
30,1,37,1
30,3,27 ,1
30,4,27 ,2
30,5,27 ,3
30,6,27 ,4
30,2,10,15
31,1,28,2
32,5,30,1
32,1,34,1
32,2,34,2
32,3,34,7
32,4,10,8
33,2,43,1
33,1,33,2
35,1,27,1
35,5,49,1
35,2,27,2
35,6,49,2
35,3,27,3
35,4,27,5
36,1,50,2
36,2,50,3
37,2,46,1
37,1,46,2
38,1,50,1
38,2,50,2
38,3,50,4
39,2,52,1
39,3,52,2
39,12,52,3
39,5,52,5
39,1,52,6
39,6,52,7
39,8,52,8
39,4,52,9
39,7,52,10
39,10,52,11
39,11,52,12
39,9,52,13
40,1,51,1
40,5,54,1
40,11,51,2
40,6,54,2
40,2,51,3
40,7,54,3
40,3,51,4
40,8,54,4
40,4,51,5
40,9,54,5
40,12,51,6
40,10,54,7
41,1,51,1
41,5,55,1
41,2,51,2
41,6,55,2
41,7,55,3
41,3,51,4
41,4,51,5
41,8,55,6
41,9,55,9
41,10,55,10
41,11,55,11
41,12,55,12
41,13,55,13
41,14,55,14
42,5,51,1
42,1,46,2
42,6,51,2
42,2,46,3
42,3,46,3
42,9,51,3
42,7,51,4
42,4,51,5
42,10,55,7
42,11,55,8
42,8,51,9
42,12,55,9
42,13,55,14
43,2,55,4
43,1,55,13
44,1,51,1
44,2,51,2
44,3,51,12
45,5,56,1
45,6,56,4
45,1,62,4
45,7,56,5
45,2,62,5
45,8,56,7
45,3,62,7
45,9,56,8
45,4,62,8
46,1,61,1
47,1,53,1
47,2,53,2
47,3,53,3
47,12,56,3
47,4,53,4
47,11,56,2
47,5,53,5
47,6,53,6
47,13,56,6
47,14,62,6
47,7,53,7
47,8,53,8
47,9,53,9
47,10,53,10
48,1,57,1
48,2,57,2
48,3,57,3
48,4,57,6
48,5,57,7
48,6,57,8
48,7,57,9
48,8,57,10
48,9,57,11
48,10,57,12
49,3,57,4
49,4,57,5
49,1,57,12
49,2,57,14
50,3,62,1
50,4,62,2
50,1,56,3
50,2,62,6
51,1,58,1
51,2,58,2
51,3,58,3
51,4,58,5
51,5,58,6
51,6,58,7
51,7,58,8
51,8,58,9
51,9,58,10
52,3,56,3
52,4,62,3
52,2,56,7
52,1,56,8
53,3,67,1
53,5,56,2
53,1,62,2
53,4,67,2
53,6,56,6
53,2,62,6
53,8,62,7
53,7,56,8
53,9,62,8
54,1,68,1
54,2,68,2
54,3,68,3
55,1,69,1
55,2,67,2
56,1,51,1
56,2,51,2
56,3,51,5
56,4,51,10
56,5,51,12
57,1,55,5
58,1,75,1
58,2,75,2
58,3,75,3
58,4,75,4
58,5,75,5
58,6,75,6
58,7,75,7
58,8,75,8
58,9,75,9
58,10,75,10
59,1,76,1
59,2,76,2
59,3,76,3
59,4,76,4
59,5,76,5
59,6,76,6
59,7,76,7
59,8,76,8
59,9,76,9
59,10,76,10
59,11,76,11
59,12,76,12
60,1,58,1
60,2,58,2
60,3,58,3
60,4,58,5
60,5,58,6
60,6,58,7
60,7,58,8
60,8,58,9
60,9,58,10
60,10,58,12
60,11,58,13
60,12,58,14
61,1,77,1
61,2,78,1
61,3,78,2
61,4,78,3
61,5,78,4
61,6,78,5
61,7,78,6
61,8,78,7
61,9,78,8
62,1,51,5
63,1,70,1
63,2,71,2
64,1,80,1
64,2,80,2
64,3,80,3
65,1,67,1
65,2,67,2
66,1,74,1
67,1,51,5
68,1,83,1
68,2,83,2
68,3,83,3
69,1,58,1
69,2,58,5
69,3,58,8
69,4,58,11
70,1,59,2
70,2,59,3
70,3,59,5
71,1,85,1
71,2,85,2
71,3,85,3
71,4,85,4
71,5,85,5
71,6,85,6
72,1,82,2
72,2,82,5
72,4,82,11
72,5,84,6
73,1,86,1
73,3,84,2
73,2,86,2
73,4,84,4
73,5,57,5
73,6,57,6
73,7,57,11
73,8,57,13
73,9,57,14
74,1,57,4
74,3,84,6
74,2,56,7
75,1,87,1
75,2,87,2
75,3,87,3
75,4,87,4
75,5,87,5
75,6,87,6
75,8,87,8
75,9,87,9
75,10,87,10
75,11,87,11
75,12,87,12
