op,supop,fraccion,fecha ,orden
72,1,1,20191031,NULL
72,2,1,20191031,NULL
72,4,1,20191031,NULL
72,5,1,20191031,NULL
72,6,1,20191031,NULL
73,1,1,20191104,NULL
73,2,1,20191104,NULL
73,3,1,20191104,NULL
73,4,1,20191104,NULL
73,5,1,20191104,NULL
73,6,1,20191104,NULL
73,7,1,20191104,NULL
73,8,1,20191104,NULL
73,9,1,20191104,NULL
88,2,1,20191202,NULL
88,3,1,20191202,NULL
88,4,1,20191202,NULL
88,5,1,20191202,NULL
88,6,1,20191202,NULL
88,7,1,20191202,NULL
88,8,1,20191202,NULL
88,9,1,20191202,NULL
88,10,0.6666666667,20191202,NULL
89,1,1,20191202,NULL
91,1,1,20191204,NULL
91,2,1,20191204,NULL
91,3,1,20191204,NULL
91,4,1,20191204,NULL
91,5,1,20191204,NULL
92,1,1,20191204,NULL
92,2,1,20191204,NULL
92,3,1,20191204,NULL
92,4,1,20191204,NULL
92,5,1,20191204,NULL
92,6,1,20191204,NULL
