p,sp,fecha,hora,cant_barras
46,2,20190925,NULL,72
46,4,20191107,NULL,130
51,2,20191104,NULL,182
51,10,20191204,NULL,24
54,4,20200422,NULL,594
55,4,20200102,NULL,71
55,4,20200102,NULL,29
56,2,20191205,NULL,77
56,2,20200106,NULL,101
56,6,20191223,NULL,47
56,6,20191223,NULL,48
56,6,20200213,NULL,35
56,7,20191220,NULL,60
56,7,20191223,NULL,26
56,7,20200102,NULL,6
56,7,20200207,NULL,4
56,7,20200213,NULL,35
57,4,20200103,NULL,20
57,13,20191121,NULL,53
59,3,20191105,NULL,56
59,3,20200131,NULL,44
59,4,20200320,NULL,37
59,5,20191105,NULL,20
74,1,20191028,NULL,19
82,2,20191106,NULL,72
82,2,20200109,NULL,4
82,8,20191218,NULL,50
82,8,20200131,NULL,50
88,1,20200124,NULL,33
88,1,20200210,NULL,30
94,1,20200106,NULL,131
94,1,20200213,NULL,12
94,2,20191218,NULL,12
94,5,20200102,NULL,40
94,5,20200102,NULL,28
94,8,20200102,NULL,37
94,8,20200103,NULL,78
94,8,20200109,NULL,11
94,9,20200103,NULL,39
94,9,20200117,NULL,35
94,16,20200207,NULL,37
94,16,20200211,NULL,12
94,17,20200217,NULL,25
94,17,20200313,NULL,20
96,1,20191125,NULL,28
96,4,20200103,NULL,64
96,7,20191125,NULL,48
96,8,20191125,NULL,82
96,16,20200109,NULL,70
96,21,20200224,NULL,16
100,2,20191202,NULL,43
100,2,20200207,NULL,7
100,3,20191202,NULL,30
101,2,20191203,NULL,76
101,2,20200107,NULL,4
101,4,20200117,NULL,95
101,4,20200211,NULL,4
101,6,20191203,NULL,199
101,6,20200207,NULL,6
101,10,20191202,NULL,41
101,10,20200106,NULL,15
101,11,20191202,NULL,43
101,11,20200106,NULL,13
101,12,20191218,NULL,67
101,15,20191202,NULL,89
101,15,20200109,NULL,2
104,2,20191203,NULL,20
104,2,20200106,NULL,10
108,1,20200130,NULL,66
108,1,20200210,NULL,14
108,1,20200512,NULL,35
108,2,20191212,NULL,83
108,2,20200313,NULL,15
108,2,20200512,NULL,10
108,3,20191212,NULL,157
108,3,20200116,NULL,92
108,3,20200213,NULL,3
108,4,20191212,NULL,64
108,4,20200203,NULL,52
108,4,20200213,NULL,1
108,5,20191212,NULL,82
108,6,20191213,NULL,32
108,6,20200121,NULL,99
108,6,20200130,NULL,37
108,6,20200210,NULL,62
108,6,20200227,NULL,19
108,6,20200306,NULL,3
108,7,20191217,NULL,38
108,7,20200107,NULL,36
108,7,20200210,NULL,22
108,7,20200213,NULL,4
108,8,20191213,NULL,31
108,8,20191217,NULL,54
108,8,20200203,NULL,55
108,8,20200313,NULL,3
108,9,20191217,NULL,426
108,9,20200107,NULL,216
108,9,20200107,NULL,561
108,9,20200210,NULL,49
108,9,20200220,NULL,6
108,9,20200303,NULL,27
108,10,20200210,NULL,11
108,11,20200210,NULL,11
111,1,20191209,NULL,18
111,2,20191209,NULL,9
111,3,20191209,NULL,6
113,1,20191219,NULL,200
115,1,20200212,NULL,32
115,1,20200218,NULL,10
115,1,20200305,NULL,21
115,1,20200310,NULL,5
115,2,20200310,NULL,6
115,3,20200107,NULL,36
115,3,20200206,NULL,58
115,3,20200210,NULL,64
115,3,20200305,NULL,9
115,4,20200212,NULL,213
115,4,20200305,NULL,26
115,5,20200305,NULL,183
115,5,20200313,NULL,4
115,6,20200206,NULL,58
115,6,20200210,NULL,64
115,6,20200305,NULL,304
117,1,20191218,NULL,2
117,1,20200109,NULL,10
117,2,20191218,NULL,1
117,2,20200109,NULL,10
118,1,20200124,NULL,56
118,1,20200210,NULL,3
118,1,20200224,NULL,25
118,1,20200310,NULL,14
119,1,20200124,NULL,30
119,1,20200210,NULL,19
119,2,20200207,NULL,12
120,1,20200122,NULL,46
120,1,20200129,NULL,55
120,1,20200203,NULL,82
120,2,20200121,NULL,43
120,2,20200213,NULL,2
120,2,20200218,NULL,48
120,2,20200224,NULL,27
120,3,20200122,NULL,96
120,3,20200128,NULL,152
120,3,20200128,NULL,66
