pedido,subpedido,"tipo_pedido (0: por unidad (de algo que no tiene largo definido), 1: por unidad de x metros, 2: por KG, 3: por metro (en multiplos de 'longitud')",recibidoparapintar,cod_perfil,longitud,cod_acabado,cod_color,cantidad,cod_prioridad,cod_estado
1,1,1,0,PROFILE-0169,4.50,1,4,72,1,1
1,2,1,0,PROFILE-0170,4.50,1,4,72,1,1
1,3,1,0,PROFILE-0162,6.00,1,4,75,1,1
1,4,1,0,PROFILE-0163,6.00,1,4,36,1,1
1,5,1,0,PROFILE-0157,6.00,1,4,53,1,1
1,6,1,0,PROFILE-0104,6.00,1,4,72,1,1
1,7,1,0,PROFILE-0119,6.00,1,4,324,1,1
1,8,1,0,PROFILE-0120,6.00,1,4,63,1,1
1,9,1,0,PROFILE-0125,5.00,1,4,36,1,1
1,10,1,0,PROFILE-0124,6.00,1,4,90,1,1
1,11,1,0,PROFILE-0160,6.00,1,4,18,1,1
1,12,1,0,PROFILE-0161,6.00,1,4,18,1,1
1,13,1,0,PROFILE-0116,6.00,1,4,36,1,1
2,1,1,0,PROFILE-0120,6.00,1,1,10,1,1
2,2,1,0,PROFILE-0125,6.00,1,1,10,1,1
2,3,1,0,PROFILE-0124,6.00,1,1,21,1,1
2,4,1,0,PROFILE-0116,6.00,1,1,10,1,1
2,5,1,0,PROFILE-0157,6.00,1,1,10,1,1
2,6,1,0,PROFILE-0162,6.00,1,1,21,1,1
2,7,1,0,PROFILE-0169,6.00,1,1,12,1,1
2,8,1,0,PROFILE-0161,6.00,1,1,12,1,1
2,9,1,0,PROFILE-0117,6.00,1,1,75,1,1
3,1,1,1,NULL,6.00,1,1,9,1,1
4,1,1,1,PROFILE-0121,6.00,1,1,12,1,1
4,2,1,1,PROFILE-0025,6.00,1,1,1,1,1
5,1,1,0,PROFILE-0077,6.00,1,3,1,1,1
5,2,1,0,PROFILE-0078,6.00,1,3,1,1,1
5,3,1,0,PROFILE-0079,6.00,1,3,1,1,1
