codigo,descripcion,cod_tipo,pesolinealnominal__kg_m,perimetro__mm,area__mm2,codigo_externo,es_extrusable
PROFILE-0001,(dato anonimizado),0,0,NULL,NULL,PROFILE-0001,0
PROFILE-0002,(dato anonimizado),0,0.501,NULL,NULL,PROFILE-0002,0
PROFILE-0003,NULL,0,0.664,NULL,NULL,PROFILE-0003,0
PROFILE-0004,NULL,0,0.536,NULL,NULL,PROFILE-0004,0
PROFILE-0005,(dato anonimizado),0,0.502,NULL,NULL,PROFILE-0005,0
PROFILE-0006,NULL,0,0.795,NULL,NULL,PROFILE-0006,0
PROFILE-0007,(dato anonimizado),0,0.483,NULL,NULL,PROFILE-0007,0
PROFILE-0008,NULL,0,1.062,NULL,NULL,PROFILE-0008,0
PROFILE-0009,NULL,0,0.233,NULL,NULL,PROFILE-0009,0
PROFILE-0010,(dato anonimizado),0,0.185,NULL,NULL,PROFILE-0010,0
PROFILE-0011,NULL,0,0.795,NULL,NULL,PROFILE-0011,0
PROFILE-0012,NULL,0,0.081,NULL,NULL,PROFILE-0012,0
PROFILE-0013,NULL,0,0.185,NULL,NULL,PROFILE-0013,0
PROFILE-0014,NULL,0,0,NULL,NULL,PROFILE-0014,0
PROFILE-0015,NULL,0,0.419,NULL,NULL,PROFILE-0015,0
PROFILE-0016,(dato anonimizado),0,0,NULL,NULL,PROFILE-0016,0
PROFILE-0017,(dato anonimizado),0,0.556,NULL,NULL,PROFILE-0017,0
PROFILE-0018,NULL,0,0.355,NULL,NULL,PROFILE-0018,0
PROFILE-0019,NULL,0,0.282,NULL,NULL,PROFILE-0019,0
PROFILE-0020,NULL,0,0.447,NULL,NULL,PROFILE-0020,0
PROFILE-0021,NULL,0,0.083,NULL,NULL,PROFILE-0021,0
PROFILE-0022,NULL,0,0.29,NULL,NULL,PROFILE-0022,0
PROFILE-0023,NULL,0,0.617,NULL,NULL,PROFILE-0023,0
PROFILE-0024,NULL,0,0,NULL,NULL,PROFILE-0024,0
PROFILE-0025,(dato anonimizado),0,0,NULL,NULL,PROFILE-0025,0
PROFILE-0026,NULL,0,0,NULL,NULL,PROFILE-0026,0
PROFILE-0027,NULL,0,0,NULL,NULL,PROFILE-0027,0
PROFILE-0028,NULL,0,0,NULL,NULL,PROFILE-0028,0
PROFILE-0029,NULL,0,0,NULL,NULL,PROFILE-0029,0
PROFILE-0030,(dato anonimizado),0,0.092,NULL,NULL,PROFILE-0030,0
PROFILE-0031,(dato anonimizado),0,0.403,NULL,NULL,PROFILE-0031,0
PROFILE-0032,(dato anonimizado),0,0.42,NULL,NULL,PROFILE-0032,0
PROFILE-0033,(dato anonimizado),0,0.4,NULL,NULL,PROFILE-0033,0
PROFILE-0034,(dato anonimizado),0,0.12,NULL,NULL,PROFILE-0034,0
PROFILE-0035,(dato anonimizado),0,0.233,NULL,NULL,PROFILE-0035,0
PROFILE-0036,NULL,0,0.229,NULL,NULL,PROFILE-0036,0
PROFILE-0037,(dato anonimizado),0,0.247,NULL,NULL,PROFILE-0037,0
PROFILE-0038,(dato anonimizado),0,0.269,NULL,NULL,PROFILE-0038,0
PROFILE-0039,(dato anonimizado),0,0.413,NULL,NULL,PROFILE-0039,0
PROFILE-0040,(dato anonimizado),0,0.39,NULL,NULL,PROFILE-0040,0
PROFILE-0041,(dato anonimizado),0,0,NULL,NULL,PROFILE-0041,0
PROFILE-0042,(dato anonimizado),0,0.303,NULL,NULL,PROFILE-0042,0
PROFILE-0043,NULL,0,0.667,NULL,NULL,PROFILE-0043,0
PROFILE-0044,NULL,0,0,NULL,NULL,PROFILE-0044,0
PROFILE-0045,NULL,0,0,NULL,NULL,PROFILE-0045,0
PROFILE-0046,(dato anonimizado),0,0.064,NULL,NULL,PROFILE-0046,0
PROFILE-0047,NULL,0,0,NULL,NULL,PROFILE-0047,0
PROFILE-0048,NULL,0,0,NULL,NULL,PROFILE-0048,0
PROFILE-0049,NULL,2,0.716,NULL,396,PROFILE-0049,0
PROFILE-0050,NULL,0,0,NULL,NULL,PROFILE-0050,0
PROFILE-0051,(dato anonimizado),0,0.147,NULL,NULL,PROFILE-0051,0
PROFILE-0052,NULL,0,0.219,NULL,NULL,PROFILE-0052,0
PROFILE-0053,NULL,0,0.663,NULL,NULL,PROFILE-0053,0
PROFILE-0054,NULL,0,1.24,NULL,NULL,PROFILE-0054,0
PROFILE-0055,(dato anonimizado),0,0,NULL,NULL,PROFILE-0055,0
PROFILE-0056,NULL,0,0,NULL,NULL,PROFILE-0056,0
PROFILE-0057,NULL,0,0,NULL,NULL,PROFILE-0057,0
PROFILE-0058,(dato anonimizado),0,1.532,NULL,NULL,PROFILE-0058,0
PROFILE-0059,NULL,0,1.134,NULL,NULL,PROFILE-0059,0
PROFILE-0060,NULL,0,0,NULL,NULL,PROFILE-0060,0
PROFILE-0061,NULL,1,0.179,NULL,NULL,PROFILE-0061,0
PROFILE-0062,NULL,1,0.159,NULL,NULL,PROFILE-0062,0
PROFILE-0063,NULL,1,0.151,NULL,NULL,PROFILE-0063,0
PROFILE-0064,(dato anonimizado),1,0.428,287,237,PROFILE-0064,0
PROFILE-0065,NULL,1,1.036,NULL,NULL,PROFILE-0065,0
PROFILE-0066,(dato anonimizado),2,1.077,308,596,PROFILE-0067,0
PROFILE-0068,NULL,2,1.37,NULL,NULL,PROFILE-0068,0
PROFILE-0069,NULL,2,0.264,NULL,NULL,PROFILE-0069,0
PROFILE-0070,NULL,0,0,NULL,NULL,PROFILE-0070,0
PROFILE-0071,(dato anonimizado),0,0.367,NULL,NULL,PROFILE-0071,0
PROFILE-0072,(dato anonimizado),2,0.724,562,400,PROFILE-0072,1
PROFILE-0073,NULL,0,0.506,NULL,NULL,PROFILE-0073,0
PROFILE-0074,(dato anonimizado),1,0.152,105,84,PROFILE-0074,1
PROFILE-0075,(dato anonimizado),1,0.171,160,95,PROFILE-0075,1
PROFILE-0076,(dato anonimizado),1,0.39,299,216,PROFILE-0076,1
PROFILE-0077,(dato anonimizado),1,0.105,88,58,PROFILE-0077,1
PROFILE-0078,(dato anonimizado),1,0.151,123,84,PROFILE-0078,1
PROFILE-0079,(dato anonimizado),1,0.277,259,154,PROFILE-0079,1
PROFILE-0080,(dato anonimizado),1,0.111,104,61,PROFILE-0080,1
PROFILE-0081,(dato anonimizado),1,0.052,55,29,PROFILE-0081,1
PROFILE-0082,(dato anonimizado),1,0.177,192,98,PROFILE-0082,1
PROFILE-0083,(dato anonimizado),1,0.455,306,252,PROFILE-0083,1
PROFILE-0084,(dato anonimizado),1,0.309,287,171,PROFILE-0084,1
PROFILE-0085,(dato anonimizado),1,0.135,119,74,PROFILE-0085,1
PROFILE-0086,(dato anonimizado),1,0.479,365,278,PROFILE-0086,1
PROFILE-0087,(dato anonimizado),1,0.369,297,204,PROFILE-0087,1
PROFILE-0088,(dato anonimizado),1,0.454,175,172,PROFILE-0088,1
PROFILE-0089,(dato anonimizado),1,0.135,145,75,PROFILE-0089,1
PROFILE-0090,(dato anonimizado),1,0.535,290,290,PROFILE-0090,1
PROFILE-0091,(dato anonimizado),1,1.087,311.363,601.61,PROFILE-0092,1
PROFILE-0093,(dato anonimizado),1,0.173,160.794,95.935,PROFILE-0094,1
PROFILE-0095,(dato anonimizado),1,0.143,134.649,79.541,PROFILE-0095,1
PROFILE-0096,(dato anonimizado),1,0.143,134.649,79.541,PROFILE-0097,1
PROFILE-0098,(dato anonimizado),1,0.269,131.376,149.197,PROFILE-0099,1
PROFILE-0100,(dato anonimizado),1,0.447,382.151,247.79,PROFILE-0101,1
PROFILE-0102,(dato anonimizado),1,0.496,277,274,PROFILE-0102,1
PROFILE-0103,(dato anonimizado),1,1.762,399.227,974.922,PROFILE-0103,1
PROFILE-0104,(dato anonimizado),1,0.111,114.508,61.76,PROFILE-0104,1
PROFILE-0105,(dato anonimizado),1,0.225,185,124,PROFILE-0105,1
PROFILE-0106,(dato anonimizado),1,0.281,171,155,PROFILE-0106,1
PROFILE-0107,(dato anonimizado),1,0.313,262,173,PROFILE-0107,1
PROFILE-0108,(dato anonimizado),1,0.475,391,262,PROFILE-0108,1
PROFILE-0109,(dato anonimizado),1,0.494,388,273,PROFILE-0109,1
PROFILE-0110,(dato anonimizado),1,0.092,101,50,PROFILE-0110,1
PROFILE-0111,(dato anonimizado),1,0.089,98,49,PROFILE-0111,1
PROFILE-0112,(dato anonimizado),1,0.138,111,76,PROFILE-0112,1
PROFILE-0113,(dato anonimizado),1,0.271,235,150,PROFILE-0113,1
PROFILE-0114,(dato anonimizado),1,0.337,274,187,PROFILE-0114,1
PROFILE-0115,(dato anonimizado),1,0.411,324,227,PROFILE-0115,1
PROFILE-0116,(dato anonimizado),1,0.451,309.682,249.887,PROFILE-0116,1
PROFILE-0117,(dato anonimizado),1,0.098,74,54,PROFILE-0117,1
PROFILE-0118,(dato anonimizado),1,0.259,161,125,PROFILE-0118,1
PROFILE-0119,(dato anonimizado),1,0.105,107.95,58.43,PROFILE-0119,1
PROFILE-0120,(dato anonimizado),1,0.829,551.586,458.928,PROFILE-0120,1
PROFILE-0121,(dato anonimizado),1,0.269,225.357,149.336,PROFILE-0121,1
PROFILE-0122,(dato anonimizado),1,0.272,220.146,150.739,PROFILE-0122,1
PROFILE-0123,(dato anonimizado),1,0.101,94.841,55.869,PROFILE-0123,1
PROFILE-0124,(dato anonimizado),1,0.515,386.989,285.102,PROFILE-0124,1
PROFILE-0125,(dato anonimizado),1,0.672,445.425,371.425,PROFILE-0125,1
PROFILE-0126,(dato anonimizado),1,0.134,136.317,74.53,PROFILE-0126,1
PROFILE-0127,(dato anonimizado),1,0.862,583.205,477.116,PROFILE-0127,1
PROFILE-0128,(dato anonimizado),1,0.947,587,524,PROFILE-0127,1
PROFILE-0129,(dato anonimizado),1,0.242,169,134,PROFILE-0129,1
PROFILE-0130,(dato anonimizado),1,0.105,100,58,PROFILE-0131,1
PROFILE-0132,(dato anonimizado),2,0.173,175,96,PROFILE-0132,1
PROFILE-0133,(dato anonimizado),2,0.369,240,204,PROFILE-0133,1
PROFILE-0134,(dato anonimizado),2,1.17,598,647,PROFILE-0134,1
PROFILE-0135,(dato anonimizado),2,0.552,462.418,305.497,PROFILE-0135,1
PROFILE-0136,(dato anonimizado),2,0.614,515.375,340.181,PROFILE-0137,1
PROFILE-0138,(dato anonimizado),2,0.538,386,298,PROFILE-0138,1
PROFILE-0139,(dato anonimizado),2,0.191,79,105,PROFILE-0139,1
PROFILE-0140,(dato anonimizado),2,1.794,430,992,PROFILE-0140,1
PROFILE-0141,(dato anonimizado),2,1.086,262,600,PROFILE-0141,1
PROFILE-0142,(dato anonimizado),2,1.434,339,793,PROFILE-0142,1
PROFILE-0143,(dato anonimizado),2,0.258,276,143,PROFILE-0143,1
PROFILE-0144,(dato anonimizado),2,0.686,380,379,PROFILE-0144,1
PROFILE-0145,(dato anonimizado),2,0.329,327,182,PROFILE-0145,1
PROFILE-0146,(dato anonimizado),2,0.173,144,95,PROFILE-0146,1
PROFILE-0147,(dato anonimizado),2,0.068,69,37,PROFILE-0147,1
PROFILE-0148,(dato anonimizado),2,1.241,628,686,PROFILE-0148,1
PROFILE-0149,(dato anonimizado),2,2.841,914,1.572,PROFILE-0149,1
PROFILE-0150,(dato anonimizado),2,0.62,514,342,PROFILE-0150,1
PROFILE-0151,(dato anonimizado),2,0.307,284,170,PROFILE-0151,1
PROFILE-0152,(dato anonimizado),2,0.295,269,163,PROFILE-0152,1
PROFILE-0153,(dato anonimizado),2,0.283,258,156,PROFILE-0153,1
PROFILE-0154,(dato anonimizado),2,0.68,472,376,PROFILE-0154,1
PROFILE-0155,(dato anonimizado),2,0.676,461,373,PROFILE-0155,1
PROFILE-0156,(dato anonimizado),2,0.562,443,311,PROFILE-0156,1
PROFILE-0157,(dato anonimizado),2,0.82,547.196,453.855,PROFILE-0157,1
PROFILE-0158,(dato anonimizado),2,0.752,513,415,PROFILE-0158,1
PROFILE-0159,(dato anonimizado),2,0.62,445,343,PROFILE-0159,1
PROFILE-0160,(dato anonimizado),2,0.645,423.614,357.009,PROFILE-0160,1
PROFILE-0161,(dato anonimizado),2,0.605,422.644,334.745,PROFILE-0161,1
PROFILE-0162,(dato anonimizado),2,0.538,385.813,298.148,PROFILE-0162,1
PROFILE-0163,(dato anonimizado),2,0.612,438.281,338.529,PROFILE-0163,1
PROFILE-0164,(dato anonimizado),2,0.505,342,279,PROFILE-0164,1
PROFILE-0165,(dato anonimizado),2,1.178,761,652,PROFILE-0165,1
PROFILE-0166,(dato anonimizado),2,0.508,382.245,281.131,PROFILE-0166,1
PROFILE-0167,(dato anonimizado),2,0.513,372.12,284.086,PROFILE-0167,1
PROFILE-0168,(dato anonimizado),2,0.352,278.677,195.141,PROFILE-0168,1
PROFILE-0169,(dato anonimizado),2,0.96,690.732,531.596,PROFILE-0169,1
PROFILE-0170,(dato anonimizado),2,0.955,692.475,528.649,PROFILE-0170,1
PROFILE-0171,(dato anonimizado),2,0.946,624,523,PROFILE-0171,1
PROFILE-0172,(dato anonimizado),2,0.838,606,463,PROFILE-0172,1
PROFILE-0173,(dato anonimizado),2,0.771,511,426,PROFILE-0173,1
PROFILE-0174,(dato anonimizado),2,0.149,89,82,PROFILE-0174,1
PROFILE-0175,(dato anonimizado),2,0.64,590,354,PROFILE-0175,1
PROFILE-0176,(dato anonimizado),2,0.797,587,441,PROFILE-0176,1
PROFILE-0177,(dato anonimizado),2,0.634,468,351,PROFILE-0178,1
PROFILE-0179,(dato anonimizado),2,0.137,152,76,PROFILE-0179,1
PROFILE-0180,(dato anonimizado),2,0.337,310,186,PROFILE-0180,1
PROFILE-0181,(dato anonimizado),2,0.423,389,234,PROFILE-0181,1
PROFILE-0182,(dato anonimizado),2,0.484,357.809,267.793,PROFILE-0182,1
PROFILE-0183,(dato anonimizado),2,0.53,391,293,PROFILE-0183,1
PROFILE-0184,(dato anonimizado),2,0.515,379,284,PROFILE-0184,1
PROFILE-0185,(dato anonimizado),2,1.164,746.921,644.176,PROFILE-0185,1
PROFILE-0186,(dato anonimizado),2,1.189,744,616.3,PROFILE-0185,1
PROFILE-0187,(dato anonimizado),2,0.648,417.127,358.344,PROFILE-0187,1
PROFILE-0188,(dato anonimizado),2,0.638,413,353,PROFILE-0187,1
PROFILE-0059,(dato anonimizado),2,1.134,NULL,NULL,PROFILE-0059,0
PROFILE-0189,(dato anonimizado),1,1.038,641.451,573.323,PROFILE-0189,1
PROFILE-0190,(dato anonimizado),1,1.008,621.765,555.713,PROFILE-0190,1
