N.º,op_p,subop_p,id_color,fecha,hora_inicio,hora_fin,id_rrhh,velocidad,cantidad por gancheras,cod_perfil,longitud,cantidad
1,NULL,NULL,1,20190709,073500,084500,9,NULL,NULL,PROFILE-0162,6,8
2,NULL,NULL,1,20190709,083000,093000,9,NULL,NULL,PROFILE-0192,6,33
3,NULL,NULL,1,20190709,100000,110000,9,NULL,NULL,PROFILE-0162,6,10
4,NULL,NULL,1,20190709,131000,141000,9,NULL,NULL,PROFILE-0157,6,20
5,NULL,NULL,1,20190709,140000,160000,9,NULL,NULL,PROFILE-0125,6,60
6,NULL,NULL,1,20190710,132000,152000,9,NULL,NULL,PROFILE-0124,6,69
7,NULL,NULL,1,20190710,153000,163000,9,NULL,NULL,PROFILE-0127,6,3
8,NULL,NULL,1,20190710,153000,163000,9,NULL,NULL,PROFILE-0182,6,10
9,NULL,NULL,1,20190710,153000,163000,9,NULL,NULL,PROFILE-0127,6,2
10,NULL,NULL,1,20190710,153000,163000,9,NULL,NULL,PROFILE-0059,6,1
11,NULL,NULL,1,20190710,160000,170000,9,NULL,NULL,PROFILE-0169,6,14
12,NULL,NULL,1,20190711,092000,102000,9,NULL,NULL,PROFILE-0169,6,17
13,NULL,NULL,1,20190711,093000,103000,9,NULL,NULL,PROFILE-0162,6,26
14,NULL,NULL,1,20190711,093000,113000,9,NULL,NULL,PROFILE-0116,6,10
15,NULL,NULL,4,20190711,093000,172000,9,NULL,NULL,PROFILE-0169,4.5,12
16,NULL,NULL,4,20190711,162000,172000,9,NULL,NULL,PROFILE-0170,4.5,30
17,NULL,NULL,4,20190712,105000,115000,9,NULL,NULL,PROFILE-0170,4.5,8
18,NULL,NULL,1,20190715,140000,150000,9,NULL,NULL,PROFILE-0120,6,21
19,NULL,NULL,1,20190715,144000,154000,9,NULL,NULL,PROFILE-0124,6,40
20,NULL,NULL,2,20190716,105000,115000,9,NULL,NULL,PROFILE-0127,6,14
21,NULL,NULL,2,20190716,133000,143000,9,NULL,NULL,PROFILE-0185,4,12
22,NULL,NULL,2,20190716,140000,150000,9,NULL,NULL,PROFILE-0185,6,28
23,NULL,NULL,2,20190716,133000,143000,9,NULL,NULL,PROFILE-0182,6,6
24,NULL,NULL,1,20190717,112000,122000,9,NULL,NULL,PROFILE-0117,6,36
25,NULL,NULL,1,20190717,150000,170000,9,NULL,NULL,PROFILE-0117,6,342
26,NULL,NULL,1,20190718,104000,114000,9,NULL,NULL,PROFILE-0117,6,84
27,NULL,NULL,1,20190718,110000,120000,9,NULL,NULL,PROFILE-0125,6,6
28,NULL,NULL,1,20190718,132000,142000,9,NULL,NULL,PROFILE-0117,6,85
29,NULL,NULL,1,20190718,133500,143500,9,NULL,NULL,PROFILE-0116,6,26
30,NULL,NULL,1,20190718,134500,144500,9,NULL,NULL,PROFILE-0125,6,13
31,NULL,NULL,1,20190718,142000,155000,9,NULL,NULL,PROFILE-0117,6,141
32,NULL,NULL,1,20190718,151500,161500,9,NULL,NULL,PROFILE-0157,6,51
33,NULL,NULL,1,20190718,153500,163500,9,NULL,NULL,PROFILE-0120,6,4
34,NULL,NULL,1,20190718,155000,165000,9,NULL,NULL,PROFILE-0124,6,8
35,NULL,NULL,1,20190719,102000,112000,9,NULL,NULL,PROFILE-0182,6,3
36,NULL,NULL,2,20190722,112000,122000,9,NULL,NULL,PROFILE-0182,4,67
